"Date","상권","공실률","공실률_예측_머신러닝","공실률_예측_딥러닝","공실률_차이_머신","공실률_차이_딥"
"2015_3","성신여대",9.8,8.3531354575,7.58775334166667,1.4468645425,2.21224665833333
"2015_3","수유",17.2,7.2994206675,10.83552295,9.9005793325,6.36447705
"2015_3","신촌",8.9,12.126650901,11.9961475,3.226650901,3.0961475
"2015_3","영등포",9,8.39909845188889,8.64389576666667,0.600901548111111,0.356104233333333
"2015_3","용산",7,8.99089065953333,7.93249488,1.99089065953333,0.93249488
"2015_3","이태원",10,10.6773304217778,8.15428624444444,0.677330421777778,1.84571375555556
"2015_3","잠실",6.3,6.3511850758,4.98242174,0.0511850758000003,1.31757826
"2015_3","장안동",4.8,6.69929683828571,6.47812527142857,1.89929683828571,1.67812527142857
"2015_3","종로",9.8,9.57027279722222,11.2336960833333,0.229727202777779,1.43369608333333
"2015_3","천호",3.8,5.17138656881818,4.36284929090909,1.37138656881818,0.562849290909091
"2015_3","청담",11,7.69872469427273,8.92138158181818,3.30127530572727,2.07861841818182
"2015_3","청량리",9.5,11.63902103,6.0737042,2.13902103,3.4262958
"2015_3","충무로",3.3,6.5117637255,4.83915475,3.2117637255,1.53915475
"2015_3","테헤란로",7.4,8.87408299375676,9.13483057567568,1.47408299375676,1.73483057567567
"2015_3","혜화동",4.7,4.8909117558,4.79096424,0.1909117558,0.0909642399999999
"2015_3","홍대합정",8.2,6.73350024238462,7.14487055384615,1.46649975761538,1.05512944615385
"2015_3","화곡",19.8,11.5902825230278,16.6321938777778,8.20971747697222,3.16780612222222
"2015_4","건대입구",3.8,7.4395812934,4.07197536,3.6395812934,0.27197536
"2015_4","경희대",1.3,5.36821688271429,1.9904937,4.06821688271429,0.6904937
"2015_4","공덕역",10.9,8.30690830933333,5.53346753333333,2.59309169066667,5.36653246666667
"2015_4","광화문",1.3,2.79098156733333,4.1830784,1.49098156733333,2.8830784
"2015_4","군자",6,6.5013225405,4.28856261,0.5013225405,1.71143739
"2015_4","동대문",12.9,10.780894204,11.724023,2.119105796,1.175977
"2015_4","명동",10.4,8.598853415,9.90235108,1.801146585,0.497648920000001
"2015_4","목동",2,5.40094016016667,4.26095165833333,3.40094016016667,2.26095165833333
"2015_4","사당",0.7,6.10626621846154,2.39444948923077,5.40626621846154,1.69444948923077
"2015_4","서초",3.4,7.8270756392,5.340345785,4.4270756392,1.940345785
"2015_4","성신여대",7.5,8.2763560015,6.15483465,0.7763560015,1.34516535
"2015_4","수유",18.7,7.39045160516667,13.6642265,11.3095483948333,5.0357735
"2015_4","신촌",6.4,12.203976586,9.3772615,5.803976586,2.9772615
"2015_4","영등포",8.7,10.5654748641111,8.9163981,1.86547486411111,0.216398100000001
"2015_4","용산",6.2,8.95256403486667,6.93704526,2.75256403486667,0.737045259999999
"2015_4","이태원",10.4,9.08751924666667,8.24851718888889,1.31248075333333,2.15148281111111
"2015_4","잠실",8.2,7.4393523962,5.96916852,0.760647603799999,2.23083148
"2015_4","장안동",4.8,6.471168305,6.41876592857143,1.671168305,1.61876592857143
"2015_4","종로",9.8,9.13474464855556,11.9126760888889,0.665255351444445,2.11267608888889
"2015_4","천호",3.8,5.53607173558333,3.67444218333333,1.73607173558333,0.125557816666666
"2015_4","청담",11,8.98203617536364,10.6689892272727,2.01796382463636,0.331010772727273
"2015_4","청량리",9.3,10.59765105,8.680421,1.29765105,0.619579
"2015_4","충무로",7.8,8.7815021405,7.95872925,0.981502140499999,0.158729249999999
"2015_4","테헤란로",12.4,8.65244365094595,11.0589134837838,3.74755634905405,1.34108651621622
"2015_4","혜화동",3.7,3.7549636396,4.9687064,0.0549636395999999,1.2687064
"2015_4","홍대합정",4.3,6.26023438653846,6.4884846,1.96023438653846,2.1884846
"2015_4","화곡",21.6,9.70722064947222,18.6784849222222,11.8927793505278,2.92151507777778
"2016_1","건대입구",4.1,7.95208383042857,3.75528964285714,3.85208383042857,0.344710357142857
"2016_1","경희대",1.8,5.65679650514286,1.92678394285714,3.85679650514286,0.126783942857143
"2016_1","공덕역",10.9,9.787188546,7.3848892,1.112811454,3.5151108
"2016_1","광화문",2.2,3.964554589,4.07824626666667,1.764554589,1.87824626666667
"2016_1","군자",3.1,5.9755524455,3.62675965,2.8755524455,0.52675965
"2016_1","동대문",12.1,6.983280514,11.1619615,5.116719486,0.938038499999999
"2016_1","명동",9.9,8.9202395854,11.3191035,0.979760414599999,1.4191035
"2016_1","목동",4,6.66692737641667,4.753610875,2.66692737641667,0.753610875
"2016_1","사당",3.7,6.85789551578571,2.78697210714286,3.15789551578571,0.913027892857143
"2016_1","서초",6.8,8.77076736325,6.52163541,1.97076736325,0.27836459
"2016_1","성신여대",10.2,7.60789832083333,6.92157008333333,2.59210167916667,3.27842991666667
"2016_1","수유",16.1,7.476402716,12.2957479166667,8.623597284,3.80425208333333
"2016_1","신촌",6,9.404339875,11.016805,3.404339875,5.016805
"2016_1","영등포",11.9,9.22292752877778,8.92101494444444,2.67707247122222,2.97898505555556
"2016_1","용산",6.6,10.3726729333333,8.16667310666667,3.77267293333333,1.56667310666667
"2016_1","이태원",13.5,11.0496476217778,8.93200105555556,2.45035237822222,4.56799894444444
"2016_1","잠실",6.6,8.4885352046,5.73212616,1.8885352046,0.86787384
"2016_1","장안동",4.8,7.51509523280952,6.85642394285714,2.71509523280952,2.05642394285714
"2016_1","종로",9.8,8.89678064327778,11.4850352222222,0.903219356722223,1.68503522222222
"2016_1","천호",4,6.01471211041667,4.04578241666667,2.01471211041667,0.0457824166666665
"2016_1","청담",11,8.78873271033333,10.7083480166667,2.21126728966667,0.291651983333333
"2016_1","청량리",8.7,7.6556118785,5.3615236,1.0443881215,3.3384764
"2016_1","충무로",8.4,8.842174112,7.6045113,0.442174112,0.7954887
"2016_1","테헤란로",8.4,9.29413958305263,10.1625357447368,0.894139583052631,1.76253574473684
"2016_1","혜화동",2.8,4.3149955946,5.3231957,1.5149955946,2.5231957
"2016_1","홍대합정",5.1,5.90373253623077,6.44414511538462,0.803732536230769,1.34414511538462
"2016_1","화곡",18.9,10.3575599966571,16.74928744,8.54244000334286,2.15071256
"2016_2","건대입구",1.3,5.96240313006667,2.86028365333333,4.66240313006667,1.56028365333333
"2016_2","경희대",0.4,2.58404380114286,1.29624747428571,2.18404380114286,0.896247474285714
"2016_2","공덕역",10.9,9.00165114266667,8.03960823333333,1.89834885733333,2.86039176666667
"2016_2","광화문",2.9,3.430570468,5.2223456,0.530570468,2.3223456
"2016_2","군자",3.1,5.1906060966,2.9177001,2.0906060966,0.1822999
"2016_2","동대문",11.1,13.900671235,10.2292595,2.800671235,0.870740499999998
"2016_2","명동",11.2,10.1278480708,9.641338,1.0721519292,1.558662
"2016_2","목동",6.1,6.80890850383333,6.00160115,0.708908503833333,0.0983988499999997
"2016_2","사당",2.1,5.91745497113333,2.52976589,3.81745497113333,0.42976589
"2016_2","서초",5.3,8.2585628692,6.797488885,2.9585628692,1.497488885
"2016_2","성신여대",13.4,9.82561533583333,7.0858349,3.57438466416667,6.3141651
"2016_2","수유",14.8,7.86052078883333,10.9075704333333,6.93947921116667,3.89242956666667
"2016_2","신촌",7.9,8.901058915,9.5060295,1.001058915,1.6060295
"2016_2","영등포",9.3,11.06164656,9.39951836666667,1.76164656,0.0995183666666666
"2016_2","용산",7.5,9.58673817046667,7.71332961333333,2.08673817046667,0.213329613333333
"2016_2","이태원",12.6,8.83688936777778,9.11068411111111,3.76311063222222,3.48931588888889
"2016_2","잠실",7.4,6.5462184865,4.0537511,0.8537815135,3.3462489
"2016_2","장안동",6.7,7.50338848171429,7.7509542,0.803388481714285,1.0509542
"2016_2","종로",9.8,8.9858831962,11.826558275,0.814116803800001,2.026558275
