"Date","상권","임대료","임대료_예측_머신러닝","임대료_예측_딥러닝","임대료_차이_머신","임대료_차이_딥"
"2015_3","청량리",43.4,41.924,43.926464,1.476,0.526464000000004
"2015_3","충무로",29,24.7535,36.4941675,4.2465,7.4941675
"2015_3","테헤란로",46.4,37.3191891891892,48.0445971081081,9.08081081081081,1.64459710810811
"2015_3","혜화동",70.2,56.579,63.8945424,13.621,6.3054576
"2015_3","홍대합정",46.4,41.2464615384615,55.4064713076923,5.15353846153846,9.00647130769231
"2015_3","화곡",22.7,23.5692777777778,27.7302661388889,0.869277777777778,5.03026613888889
"2015_4","건대입구",52.1,47.1847333333333,46.5476636,4.91526666666667,5.5523364
"2015_4","경희대",49.5,42.8137142857143,46.2726947142857,6.68628571428572,3.22730528571429
"2015_4","공덕역",39.9,35.7073333333333,39.1388093333333,4.19266666666666,0.761190666666664
"2015_4","광화문",70.2,52.6053333333333,77.654832,17.5946666666667,7.454832
"2015_4","군자",38.4,34.9574,36.9881516,3.4426,1.4118484
"2015_4","동대문",34.8,35.298,41.88369,0.498000000000005,7.08369
"2015_4","명동",270.1,229.4146,297.440356,40.6854,27.340356
"2015_4","목동",30.4,27.0900833333333,34.5174650833333,3.30991666666667,4.11746508333334
"2015_4","사당",53.8,44.0924615384615,51.575298,9.70753846153846,2.224702
"2015_4","서초",30.7,27.1475,33.7761376,3.5525,3.0761376
"2015_4","성신여대",41.3,37.5756666666667,43.4186854166667,3.72433333333333,2.11868541666667
"2015_4","수유",54.9,45.218,59.4227384166667,9.682,4.52273841666667
"2015_4","신촌",60.4,44.2275,78.888386,16.1725,18.488386
"2015_4","영등포",33.6,32.6927777777778,40.2555223333333,0.907222222222224,6.65552233333333
"2015_4","용산",23.7,22.6362,31.7801083333333,1.0638,8.08010833333334
"2015_4","이태원",46,39.6863333333333,50.0075738888889,6.31366666666667,4.00757388888889
"2015_4","잠실",40.7,34.637,38.4921858,6.063,2.2078142
"2015_4","장안동",26.1,23.8616666666667,29.4280346666667,2.23833333333333,3.32803466666666
"2015_4","종로",90.2,71.6098888888889,98.4439814444444,18.5901111111111,8.24398144444444
"2015_4","천호",38.6,34.8028333333333,38.5261871666667,3.79716666666667,0.073812833333335
"2015_4","청담",69.6,47.1106363636364,70.2815571818182,22.4893636363636,0.681557181818192
"2015_4","청량리",43.2,40.241,41.889793,2.959,1.31020700000001
"2015_4","충무로",29.1,27.696,35.293005,1.404,6.193005
"2015_4","테헤란로",46.4,37.6498648648649,47.9773949459459,8.75013513513513,1.57739494594595
"2015_4","혜화동",70.2,55.7688,65.0780454,14.4312,5.12195460000001
"2015_4","홍대합정",47.4,41.3952307692308,56.081668,6.00476923076923,8.681668
"2015_4","화곡",23.3,23.3892222222222,28.4884194166667,0.0892222222222223,5.18841941666667
"2016_1","건대입구",52.4,45.5816428571429,49.8611505,6.81835714285714,2.5388495
"2016_1","경희대",49.5,43.7491428571429,47.5993912857143,5.75085714285714,1.90060871428572
"2016_1","공덕역",40.4,34.9626666666667,39.507449,5.43733333333333,0.892550999999997
"2016_1","광화문",70.5,48.8636666666667,76.150448,21.6363333333333,5.650448
"2016_1","군자",38.4,35.5725,37.5899922,2.8275,0.810007800000001
"2016_1","동대문",34.8,36.451,45.826969,1.651,11.026969
"2016_1","명동",271.7,241.6324,300.945888,30.0676,29.245888
"2016_1","목동",30.5,27.3199166666667,36.1184069166667,3.18008333333333,5.61840691666666
"2016_1","사당",53.9,44.3969285714286,51.1955715714286,9.50307142857142,2.70442842857143
"2016_1","서초",30.7,27.35865,33.599456,3.34135,2.899456
"2016_1","성신여대",41.5,38.4135,43.532154,3.0865,2.032154
"2016_1","수유",54.9,46.858,59.4003953333333,8.04199999999999,4.50039533333334
"2016_1","신촌",60.3,45.7325,72.160234,14.5675,11.860234
"2016_1","영등포",33.7,31.8661111111111,39.8668473333333,1.83388888888889,6.16684733333333
"2016_1","용산",23.7,23.7330666666667,31.5899658,0.0330666666666666,7.8899658
"2016_1","이태원",46,39.4674444444444,49.8184404444444,6.53255555555555,3.81844044444444
"2016_1","잠실",40.8,33.8324,39.3394002,6.9676,1.4605998
"2016_1","장안동",26.1,24.4777142857143,29.7249788571429,1.62228571428572,3.62497885714286
"2016_1","종로",89,71.3516111111111,96.5443324444444,17.6483888888889,7.54433244444445
"2016_1","천호",38.6,34.7945833333333,39.6138355833333,3.80541666666667,1.01383558333333
"2016_1","청담",69.6,48.91425,70.9407243333333,20.68575,1.34072433333334
"2016_1","청량리",43.2,41.1595,37.713401,2.0405,5.486599
