Y_pred,Y_real,Mean,,,,,,,,,,,,,,,
42.2186882,43.7,1.481311797,,,,Y_pred,Y_real,Mean,,스태킹 앙상블 모델을 통한 회귀예측,,,,릿지 모델을 통한 회귀예측,,,
43.6843417,46.9,3.215658299,,,,,,,,,,,,,,,
35.85174639,38.6,2.748253614,,,,,,,,,,,,,,,
39.44349859,46.4,6.956501414,,,,,,,,,,,,,,,
25.6837089,27.6,1.916291095,,,,,,,,,,,,,,,
27.99683406,30.9,2.903165937,,,,,,,,,,,,,,,
38.95053062,46.6,7.649469379,,,,,,,,,,,,,,,
40.24435453,39,1.244354533,,,,,,,,,,,,,,,
47.60897972,46,1.608979717,,,,,,,,,,,,,,,
70.47560477,67.5,2.975604769,,,,,,,,,,,,,,,
24.12927722,26.4,2.27072278,,,,,,,,,,,,,,,
57.27579524,69.6,12.32420476,,,,,,,,,,,,,,,
47.15029898,46.2,0.950298977,,,,,,,,,,,,,,,
50.70070278,46.1,4.600702785,,,,,,,,,,,,,,,
62.75914372,64.2,1.440856277,,,,,,,,,,,,,,,
35.00958592,38.3,3.290414077,,,,,,,,,,,,,,,
58.30585473,55.8,2.505854725,,,,,,,,,,,,,,,
79.9645776,89,9.035422396,,,,,,,,,,,,,,,
42.9831472,46.4,3.416852802,,,,,,,,,,,,,,,
43.59850607,44.5,0.901493929,,,,,,,,,,,,,,,
34.40096661,30.7,3.700966609,,,,,,,,,,,,,,,
28.10370639,30.7,2.596293607,,,,,,,,,,,,,,,
38.19930441,34.8,3.399304406,,,,,,,,,,,,,,,
38.00319539,39.2,1.196804614,,,,,,,,,,,,,,,
38.94462786,34.9,4.044627859,,,,,,,,,,,,,,,
87.49484267,84,3.49484267,,,,,,,,,,,,,,,
48.08355602,47.5,0.583556021,,,,,,,,,,,,,,,
31.37922601,29.8,1.57922601,,,,,,,,,,,,,,,
30.02986139,27.8,2.229861385,,,,,,,,,,,,,,,
44.86014686,46.9,2.039853144,,,,,,,,,,,,,,,
73.73803932,73.2,0.538039316,,,,,,,,,,,,,,,
31.45355196,25.1,6.353551959,,,,,,,,,,,,,,,
58.15815138,55.2,2.958151376,,,,,,,,,,,,,,,
59.50694792,69.6,10.09305208,,,,,,,,,,,,,,,
40.84651696,22.7,18.14651696,,,,,,,,,,,,,,,
53.91944189,58,4.080558107,,,,,,,,,,,,,,,
