총_유동인구_수,남성_유동인구_수,여성_유동인구_수,남성_상주인구_수,여성_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,운영_영업_개월_평균,폐업_영업_개월_평균,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,지하철_역_수,버스_정거장_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,주중_매출_건수,주말_매출_건수,점포수,임대료_전체,공실률
-0.339838555,-0.304106124,-0.371016491,-1.353363478,-1.354003594,-1.367474257,-0.515135479,-1.30598586,-0.325226771,-0.281057259,-0.381042532,1.998275615,2.41480575,-0.133124712,-0.515870295,-0.531591179,-0.28105715,-0.222359022,1.633923197,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,-0.387788658,-0.434919126,-0.091129144,2.588686602,0.550213438,-0.262155824,-0.463734163,-0.260529956,-0.254270471,-0.201406792,-0.27563151,-0.477840557,-0.408212768,-0.28871269,3.784071545,4.7
-0.398206067,-0.438353451,-0.356411046,-1.37599445,-1.376902952,-1.403051414,-0.515135479,-1.342658667,-0.339026935,-0.298852642,-0.386850045,2.261544342,1.809493888,-0.390594417,-0.515870295,0.803344256,-0.28105715,-0.222359022,-0.076692916,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,-0.482278692,-0.434919126,-0.091129144,2.588686602,-0.143777359,-0.212107668,-0.416938684,-0.190265578,-0.254541653,-0.368013389,-0.158087845,-0.40820689,-0.415962664,0.583625645,3.784071545,4.7
-0.371140143,-0.362465716,-0.376200139,-1.371751143,-1.351309552,-1.377052722,-0.515135479,-1.315859308,-0.367312378,-0.320685632,-0.424598884,1.787660633,3.020117612,-0.476417652,0.423336061,-0.531591179,-0.28105715,-0.222359022,0.265430307,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,-0.482278692,-0.434919126,-0.091129144,-0.211478297,-0.490772757,-0.415895888,-0.428167513,-0.441604434,-0.336108534,-0.410639243,-0.380325003,-0.465293645,-0.32182078,-0.467145532,3.784071545,4.7
0.346621736,0.509083854,0.188466348,0.007323699,-0.044699089,0.065190497,-0.515135479,0.170799851,1.480539406,1.566372632,1.228166719,-0.107874203,0.901526095,0.51054955,1.362542416,1.804545833,-0.28105715,-0.222359022,3.002416087,0.117308184,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,0.084661514,-0.434919126,-0.091129144,-0.211478297,0.550213438,0.3102152,0.55274941,0.404588683,0.071854303,0.452002022,0.102436411,0.752748468,0.067906697,0.735623991,3.784071545,4.7
-0.489393586,-0.4847198,-0.489607291,-0.998340109,-1.063047037,-1.050016546,-0.515135479,-0.978751586,-0.363299565,-0.314105827,-0.425390818,2.946043033,0.447542198,-0.51932927,0.423336061,-0.531591179,-0.28105715,-0.222359022,-0.418816139,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,-0.387788658,-0.434919126,-0.091129144,-0.211478297,-0.143777359,-0.494929925,-0.500141212,-0.506578049,-0.44502753,-0.515164128,-0.450939908,-0.513782783,-0.443854351,-0.539840393,3.784071545,4.7
-0.243064561,-0.25060404,-0.233753502,-0.821535642,-0.809807071,-0.657299465,-0.360841856,-0.604971057,-0.238902339,-0.209128023,-0.275187396,-0.055220457,-0.157769664,-0.326226991,-0.515870295,-0.531591179,-0.28105715,-0.222359022,-0.418816139,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.0673715,-0.104318555,-0.434919126,-0.091129144,-0.211478297,0.20321804,-0.377471664,-0.300691315,-0.394604265,-0.319802417,-0.366370488,-0.334292836,-0.323532385,-0.233392583,-0.323958684,-0.089454095,2.6
-0.242040445,-0.197811188,-0.282175682,-0.301023292,-0.388189469,-0.218058408,-0.360841856,-0.152202945,-0.370737951,-0.324872781,-0.42644673,-0.95033413,0.750198129,-0.369138608,-0.515870295,-0.531591179,-0.28105715,-0.222359022,0.607553529,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,4.262604535,-0.254457467,-0.482278692,-0.434919126,-0.091129144,-0.211478297,1.244204234,-0.405272533,-0.167821229,-0.414014695,-0.36630636,-0.375667824,-0.379269356,-0.161842297,-0.173060487,-0.418682291,-0.089454095,2.6
-0.403073814,-0.400691829,-0.401852974,-0.675848761,-0.687228152,-0.55467305,-0.515135479,-0.468153279,-0.359188878,-0.315003073,-0.412719879,0.102740779,-0.914409492,-0.51932927,-0.515870295,-0.531591179,-0.28105715,-0.222359022,-0.076692916,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,-0.387788658,-0.434919126,-0.091129144,-0.211478297,-0.490772757,-0.425788746,-0.364823542,-0.437739033,-0.378272711,-0.425594777,-0.390100324,-0.379744703,-0.312405797,-0.304132812,-0.089454095,2.6
0.489330388,0.457211556,0.515760477,-0.946005987,-0.874464084,-0.766767641,-0.515135479,-0.686779626,-0.206016841,-0.203595005,-0.196258005,-0.318489185,0.447542198,-0.068757286,-0.515870295,-0.19785732,-0.28105715,-0.222359022,1.633923197,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.0673715,-0.009828521,-0.434919126,-0.091129144,-0.211478297,0.897208836,0.451622218,0.672555285,0.40171852,0.549985921,0.498875244,0.52682884,0.616925043,0.765931184,0.493307787,-0.089454095,2.6
-0.359058131,-0.37778511,-0.338070609,-0.796075799,-0.650858582,-0.512254131,-0.515135479,-0.42442801,-0.233127802,-0.266103156,-0.159037122,-0.739719148,2.263477785,-0.304771182,1.362542416,-0.531591179,-0.28105715,-0.222359022,0.265430307,-0.593125789,-0.119671642,-0.064304624,-0.052468345,-0.064304624,-0.253458593,-0.20875557,-0.254457467,-0.482278692,-0.434919126,-0.091129144,-0.211478297,0.550213438,-0.422134747,-0.453932171,-0.432434861,-0.378706723,-0.461796523,-0.356037764,-0.470566318,-0.393125775,-0.486971403,-0.089454095,2.6
