Date,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,남성_상주인구_수,여성_상주인구_수,총_가구_수,아파트_가구_수,비_아파트_가구_수,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,운영_영업_개월_평균,폐업_영업_개월_평균,집객시설_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,주중_매출_건수,주말_매출_건수,점포수,임대료_전체,공실률
2017_1,687449,334916,352534,190,216,269,0,269,377,169,208,88,46,10,20329179382,1487719,15371729303,4957450079,9477004243,9247936110,1140470,347249,273,97920,0.5
2017_1,81952,39420,42529,302,322,418,0,418,273,175,98,88,45,2,5940672253,348296,4563057774,1377614479,3293120835,2002119289,255210,93086,86,97920,0.5
2017_1,417599,214633,202966,1873,1841,1982,0,1982,225,108,117,101,55,15,7951472424,621984,5905982045,2045490379,3942357663,3679268906,467729,154255,175,102104,0.5
2017_1,397774,209687,188088,664,685,800,0,800,7,3,4,100,50,11,11195019291,993426,8350937741,2844081550,5858919257,5021722231,749043,244383,265,102104,0.5
2017_1,162204,90240,71962,752,694,1062,0,1062,1440,886,554,91,64,2,4191781064,768582,3200451780,991329284,2401474662,1592700282,583819,184763,60,102104,0.5
2017_1,95544,47857,47686,1326,1336,1526,0,1526,16,0,16,131,73,3,335262156,32033,225896060,109366096,178173790,134735740,21469,10564,30,102104,0.5
2017_1,530331,218524,311809,467,837,910,0,910,923,387,536,72,44,1,4566893796,389413,3437986807,1128906989,1333694759,2890078624,308997,80416,119,114827,10.6
2017_1,410016,169558,240455,982,1430,1577,0,1577,289,164,125,94,45,12,4499966819,229738,3348645640,1151321179,2148471303,1982794398,165593,64145,118,114827,10.6
2017_1,207344,94016,113330,1362,1601,1266,402,864,412,217,195,84,55,6,5472845738,173669,3894637516,1578208222,2228585308,2873232416,131827,41842,89,114827,10.6
2017_1,137228,62333,74891,483,627,612,0,612,67,35,32,92,50,10,3777704749,156312,2926357555,851347194,1588522958,1980379780,121075,35237,64,114827,10.6
2017_1,1054485,473051,581436,505,586,740,0,740,4901,2999,1902,94,48,32,45757724010,2827762,31663518580,14094205430,19382667254,24583866006,1983422,844340,707,114827,10.6
2017_1,222649,104140,118506,1397,1750,1822,15,1807,615,234,381,88,51,19,7917782664,350491,5590809738,2326972926,3601230123,3842153991,253030,97461,172,114827,10.6
2017_1,299731,171395,128336,563,527,827,0,827,3303,2020,1283,85,49,2,10066663655,1046037,7816537063,2250126592,4949669839,3713120084,810131,235906,130,72582,10.6
2017_1,244236,120166,124070,818,896,981,0,981,3197,1191,2006,92,63,5,2413872898,237969,1923679195,490193703,1236953840,1091836623,181446,56523,46,72582,10.6
2017_1,128671,71752,56919,1146,1135,1171,29,1142,605,358,247,96,52,4,2246686288,186911,1740253374,506432914,1037462209,764839106,137411,49500,37,72582,10.6
2017_1,560386,369602,190783,417,308,511,0,511,198,133,65,91,54,6,16981532957,1224029,12488682317,4492850640,9251323802,5961345424,912604,311425,274,72582,10.6
2017_1,194654,83781,110877,673,848,867,0,867,30,3,27,82,52,6,1417151388,90551,1013466049,403685339,653196184,546759233,64894,25657,52,72582,10.6
2017_1,415901,250669,165232,183,221,275,0,275,98,58,40,86,48,10,11778301856,631554,9245603932,2532697924,5808995268,4833642847,484629,146925,124,72582,10.6
2017_1,95123,48372,46749,1756,1679,1474,6,1468,398,133,265,80,56,10,1276798524,98692,925358413,351440111,639286090,579699333,71307,27385,53,71058,13.7
