Date,상권_코드_명,총_상주인구_수
2019_1,양산길,1578
2019_1,호암로24길,2712
2019_1,호암로20길,3095
2019_1,행운길,4876
2019_1,행운1길,3312
2019_1,청림3길,4202
2019_1,청룡길,3526
2019_1,청룡8길,1945
2019_1,중앙길,3241
2019_1,조원중앙로2길,4364
2019_1,조원로18길,1778
2019_1,조원로10길,1754
2019_1,장군봉2길,1757
2019_1,장군봉1길,857
2019_1,인헌길,3008
2019_1,은천로25길,1485
2019_1,양녕로6길,4600
2019_1,신원로3길,2830
2019_1,신사로20길,1872
2019_1,신림로65길,1967
2019_1,신림로64길,1651
2019_1,신림로48길,2604
2019_1,신림로38길,2009
2019_1,신림로28길,2973
2019_1,신림로11길,4647
2019_1,신림동길,4207
2019_1,승방길,3158
2019_1,서림7길,4104
2019_1,봉천로33길,3995
2019_1,봉천로13길,3807
2019_1,복은길,4138
2019_1,법원단지길,1325
2019_1,법원단지9길,5210
2019_1,미성5길,4365
2019_1,대학길,1773
2019_1,대학14길,2996
2019_1,당곡길,1818
2019_1,남현길,1976
2019_1,남현3길,1610
2019_1,남현2길,2797
2019_1,남부순환로248길,1646
2019_1,남부순환로234길,1832
2019_1,남부순환로172길,2670
2019_1,남부순환로161길,3899
2019_1,남부순환로151길,3382
2019_1,남부순환로142길,3445
2019_1,난향길,2621
2019_1,난우길,2409
2019_1,난곡로74길,1853
2019_1,난곡로34길,2567
2019_1,난곡로26길,3307
2019_1,난곡로24길,2463
2019_1,낙성대역길,5278
2019_1,국회단지길,5533
2019_1,구암길,2935
2019_1,관천로22길,4339
2019_1,관천로15길,4588
2019_1,관악로30길,2739
2019_1,관악로28길,3096
2019_1,관악로14길,1415
2019_1,관악로10길,4471
2019_1,흑석로9길,2030
2019_1,흑석로13길,655
2019_1,장승배기로27길,2335
2019_1,장승배기로19길,2448
2019_1,장승배기로10길,383
2019_1,여의대방로46길,2872
2019_1,여의대방로24길,2873
2019_1,여의대방로22카길,3185
2019_1,여의대방로22나길,2494
2019_1,여의대방로22길,2387
