"Date","상권","행정동_코드","상권_코드_명","총_유동인구_수","총_상주인구_수","총_직장_인구_수","운영_영업_개월_평균","폐업_영업_개월_평균","당월_매출_금액","당월_매출_건수","점포수","공실률","임대료"
"2014_2","신촌",11410585,"서울 서대문구 신촌역",3557784,979,2694,91,48,123838897352,6792598,1937,7.7,60.2
"2014_2","신촌",11410585,"서울 서대문구 이대역",1137979,701,1239,95,41,49778261708,3055591,1274,7.7,60.2
"2014_2","영등포",11560515,"신길로60길",291022,2519,421,102,33,2607302843,122629,86,12.7,33.3
"2014_2","영등포",11560515,"영신로9길",404157,2308,240,88,45,6520004879,343002,109,12.7,33.3
"2014_2","영등포",11560515,"영등포로62길",338769,1319,2,86,45,1419962467,53523,23,12.7,33.3
"2014_2","영등포",11560535,"국회대로56길",291863,1762,1656,121,50,4526937076,269848,185,12.7,33.3
"2014_2","영등포",11560535,"서울 영등포구 영등포시장역",315163,561,360,127,50,7070713579,321539,218,12.7,33.3
"2014_2","영등포",11560535,"영등포로35길",259088,871,60,107,40,7984123756,319393,177,12.7,33.3
"2014_2","영등포",11560535,"영등포역_3",316742,404,867,106,44,4247529500,274553,105,12.7,33.3
"2014_2","영등포",11560535,"영등포전통시장",1816977,890,4144,92,51,127761353296,5315853,1932,12.7,33.3
"2014_2","영등포",11560535,"영등포역_2",896506,273,1036,103,53,30062084768,1072912,599,12.7,33.3
"2014_2","용산",11170520,"소월로20길",400222,645,124,81,46,1056547751,58576,64,9.4,23.7
"2014_2","용산",11170520,"서울 용산구 숙대입구역",165846,260,4154,117,54,13420135858,472271,212,9.4,23.7
"2014_2","용산",11170530,"한강대로104길",244199,807,4903,108,53,7103311597,429490,158,9.4,23.7
"2014_2","용산",11170530,"두텁바위로1길",206899,882,2374,114,51,3009229978,184906,75,9.4,23.7
"2014_2","용산",11170530,"남영역",84629,0,14157,110,49,16494384646,1004693,235,9.4,23.7
"2014_2","용산",11170625,"한강대로62길",276199,172,693,114,53,6029510022,262905,146,9.4,23.7
"2014_2","용산",11170625,"한강대로7길",183174,150,384,101,53,1887622755,50693,50,9.4,23.7
"2014_2","용산",11170625,"서울 용산구 신용산역",367117,120,298,113,44,5294707724,263448,128,9.4,23.7
"2014_2","용산",11170625,"한강대로15길",129020,104,1801,123,53,3844077184,208205,71,9.4,23.7
"2014_2","용산",11170625,"용산 전자상가_1",58401,201,8984,100,50,135485151335,2800499,1335,9.4,23.7
"2014_2","용산",11170625,"용산 전자상가_2",52680,110,444,118,41,30585562472,178390,499,9.4,23.7
"2014_2","용산",11170625,"한강대로52길",392021,238,5995,97,45,3376875410,223609,84,9.4,23.7
"2014_2","용산",11170625,"한강대로43길",551276,806,4766,79,47,10175298590,657211,242,9.4,23.7
"2014_2","용산",11170690,"서빙고로71길",61157,1712,476,114,64,797491981,15300,25,9.4,23.7
"2014_2","용산",11170690,"녹사평대로11길",10362,491,259,108,42,3717561060,17720,11,9.4,23.7
"2014_2","이태원",11170650,"이태원 관광특구",1684973,1680,5599,108,53,117247080069,4660029,1712,9.8,45.1
"2014_2","이태원",11170650,"녹사평대로32길",88775,125,385,123,56,5275088671,159627,137,9.8,45.1
"2014_2","이태원",11170650,"서울 용산구 이태원역",684714,210,843,114,55,57201911639,2368966,734,9.8,45.1
"2014_2","이태원",11170650,"녹사평대로26길",83385,166,2026,88,52,5847101948,178738,105,9.8,45.1
"2014_2","이태원",11170650,"이태원로27길",220256,173,477,110,54,19395842340,545363,170,9.8,45.1
