Date,상권,행정동_코드,공실률
2015_2,테헤란로,11680630,9.7
2015_2,테헤란로,11680610,9.7
2015_2,테헤란로,11680580,9.7
2015_2,테헤란로,11680590,9.7
2015_2,공덕역,11440565,6.7
2015_2,신촌,11410585,8.9
2015_2,영등포,11560535,8.3
2015_2,영등포,11560515,8.3
2015_2,홍대합정,11440660,7.5
2015_2,건대입구,11215710,5.7
2015_2,건대입구,11215840,5.7
2015_2,건대입구,11215820,5.7
2015_2,경희대,11230710,1.8
2015_2,경희대,11230740,1.8
2015_2,군자,11215780,6.6
2015_2,군자,11215730,6.6
2015_2,군자,11215740,6.6
2015_2,군자,11215750,6.6
2015_2,목동,11470510,3.2
2015_2,목동,11470520,3.2
2015_2,목동,11470530,3.2
2015_2,목동,11470540,3.2
2015_2,목동,11470550,3.2
2015_2,사당,11590620,1.9
2015_2,사당,11650610,1.9
2015_2,사당,11620630,1.9
2015_2,성신여대,11290575,8.6
2015_2,성신여대,11290600,8.6
2015_2,수유,11305610,16
2015_2,수유,11305620,16
2015_2,수유,11305630,16
2015_2,용산,11170530,7.3
2015_2,용산,11170520,7.3
2015_2,용산,11170625,7.3
2015_2,용산,11170690,7.3
2015_2,이태원,11170650,9.2
2015_2,이태원,11170660,9.2
2015_2,잠실,11710650,5.3
2015_2,잠실,11710670,5.3
2015_2,잠실,11710680,5.3
2015_2,잠실,11710690,5.3
2015_2,잠실,11710710,5.3
2015_2,잠실,11710720,5.3
2015_2,장안동,11230650,3.9
2015_2,장안동,11230660,3.9
2015_2,천호,11740600,3.8
2015_2,천호,11740610,3.8
2015_2,천호,11740620,3.8
2015_2,청량리,11230705,9.2
2015_2,혜화동,11110650,4.6
2015_2,화곡,11500540,19.8
2015_2,화곡,11500550,19.8
2015_2,화곡,11500560,19.8
2015_2,화곡,11500570,19.8
2015_2,화곡,11500590,19.8
2015_2,화곡,11500591,19.8
2015_2,화곡,11500615,19.8
2015_2,화곡,11500593,19.8
2015_3,광화문,11110530,1.3
2015_3,동대문,11110670,15.7
2015_3,명동,11140550,5.6
2015_3,종로,11110615,9.8
2015_3,종로,11110630,9.8
2015_3,충무로,11140570,3.3
2015_3,서초,11650510,3.3
2015_3,서초,11650520,3.3
2015_3,서초,11650530,3.3
2015_3,서초,11650531,3.3
2015_3,청담,11680565,11
2015_3,테헤란로,11680640,7.4
2015_3,테헤란로,11680650,7.4
2015_3,테헤란로,11680630,7.4
2015_3,테헤란로,11680610,7.4
2015_3,테헤란로,11680580,7.4
2015_3,테헤란로,11680590,7.4
2015_3,공덕역,11440565,10.9
2015_3,신촌,11410585,8.9
2015_3,영등포,11560535,9
2015_3,영등포,11560515,9
2015_3,홍대합정,11440660,8.2
2015_3,건대입구,11215710,5.4
2015_3,건대입구,11215840,5.4
2015_3,건대입구,11215820,5.4
2015_3,경희대,11230710,1.3
2015_3,경희대,11230740,1.3
2015_3,군자,11215780,6.6
2015_3,군자,11215730,6.6
2015_3,군자,11215740,6.6
2015_3,군자,11215750,6.6
2015_3,목동,11470510,2.3
2015_3,목동,11470520,2.3
2015_3,목동,11470530,2.3
2015_3,목동,11470540,2.3
2015_3,목동,11470550,2.3
2015_3,사당,11590620,1.9
2015_3,사당,11650610,1.9
2015_3,사당,11620630,1.9
2015_3,성신여대,11290575,9.8
2015_3,성신여대,11290600,9.8
2015_3,수유,11305610,17.2
2015_3,수유,11305620,17.2
2015_3,수유,11305630,17.2
2015_3,용산,11170530,7
2015_3,용산,11170520,7
2015_3,용산,11170625,7
2015_3,용산,11170690,7
2015_3,이태원,11170650,10
2015_3,이태원,11170660,10
2015_3,잠실,11710650,6.3
2015_3,잠실,11710670,6.3
2015_3,잠실,11710680,6.3
2015_3,잠실,11710690,6.3
2015_3,잠실,11710710,6.3
2015_3,잠실,11710720,6.3
2015_3,장안동,11230650,4.8
2015_3,장안동,11230660,4.8
2015_3,천호,11740600,3.8
2015_3,천호,11740610,3.8
2015_3,천호,11740620,3.8
2015_3,청량리,11230705,9.5
2015_3,혜화동,11110650,4.7
2015_3,화곡,11500540,19.8
2015_3,화곡,11500550,19.8
2015_3,화곡,11500560,19.8
2015_3,화곡,11500570,19.8
2015_3,화곡,11500590,19.8
2015_3,화곡,11500591,19.8
2015_3,화곡,11500615,19.8
2015_3,화곡,11500593,19.8
2015_4,광화문,11110530,1.3
2015_4,동대문,11110670,12.9
2015_4,명동,11140550,10.4
2015_4,종로,11110615,9.8
2015_4,종로,11110630,9.8
2015_4,충무로,11140570,7.8
2015_4,서초,11650510,3.4
2015_4,서초,11650520,3.4
2015_4,서초,11650530,3.4
2015_4,서초,11650531,3.4
