총_유동인구_수,총_상주인구_수,총_직장_인구_수,운영_영업_개월_평균,폐업_영업_개월_평균,당월_매출_금액,점포수,임대료,공실률
244585,493,18338,98,49,10795445106,94,46.4,9.7
2384639,5143,20180,74,42,76409586396,1152,46.4,9.7
306458,1984,1292,73,47,37748235921,667,46.4,9.7
442860,4488,154,73,41,9227826400,211,46.4,9.7
404709,2664,2634,72,38,8369858191,109,46.4,9.7
467563,3341,259,77,41,12719873874,263,46.4,9.7
1199155,2250,7008,80,39,60002237237,907,46.4,9.7
1125563,860,38850,74,41,86072762875,934,46.4,9.7
189973,2597,1743,87,40,14083366251,345,46.4,9.7
609916,1191,23561,78,40,21586309567,501,46.4,9.7
1279992,3423,26140,78,40,77318112919,1054,46.4,9.7
182283,68,2982,100,41,7997398036,68,46.4,9.7
742791,958,27354,82,42,40650264022,544,46.4,9.7
286844,2389,2821,87,37,8412673770,144,46.4,9.7
2803125,3321,32768,77,42,1.81E+11,2204,46.4,9.7
202502,1987,9579,93,44,8861493453,164,46.4,9.7
677521,367,3883,104,49,10514366291,112,46.4,9.7
783966,5906,8354,74,41,17070289489,291,46.4,9.7
431867,7409,3335,82,40,16199300731,360,46.4,9.7
713314,1435,56948,67,39,21175059192,428,46.4,9.7
75207,315,498,112,50,11768665755,69,46.4,9.7
128198,1377,10,80,56,5065961616,81,70.2,4.6
243258,910,1381,93,46,6103297300,141,70.2,4.6
226413,721,1405,90,59,4317976560,60,70.2,4.6
915428,968,10394,91,51,38911358285,532,70.2,4.6
106795,1182,114,95,40,4085532230,139,70.2,4.6
200612,712,2597,76,46,10133634567,137,46.3,7.5
262408,1858,1711,73,39,4939318738,84,46.3,7.5
213116,1988,1537,76,48,4556621971,76,46.3,7.5
307088,2516,2333,79,47,6831134879,125,46.3,7.5
3919384,8286,15744,66,43,3.06E+11,3741,46.3,7.5
155072,783,16,48,44,11984170616,165,46.3,7.5
141570,1979,4203,86,46,10141516448,170,46.3,7.5
867436,62,940,76,48,11513124031,195,46.3,7.5
306814,1877,1181,80,43,7484343740,199,46.3,7.5
169316,1085,126,54,42,6854528443,118,46.3,7.5
147523,1826,785,74,42,3073027258,81,46.3,7.5
401302,704,746,83,44,11361396592,164,46.3,7.5
133189,818,386,71,44,4609212353,82,46.3,7.5
189972,3078,84,83,49,1798679672,62,22.7,19.8
217688,2540,494,91,43,7458178005,160,22.7,19.8
399461,2340,277,79,38,3342957117,99,22.7,19.8
128511,3794,20,96,43,2039851306,81,22.7,19.8
83281,1810,4,105,42,4568922360,126,22.7,19.8
323141,4750,253,98,38,4816869362,155,22.7,19.8
200068,3255,106,99,42,1391588367,36,22.7,19.8
74151,1439,2,122,50,6962625228,157,22.7,19.8
131983,1838,112,85,44,7155700609,140,22.7,19.8
317914,1425,36,91,48,14249037935,219,22.7,19.8
255128,3497,253,104,41,2108465152,85,22.7,19.8
161733,3117,10,84,46,1365944628,74,22.7,19.8
218646,3853,30,75,38,773016100,47,22.7,19.8
139230,2663,331,91,38,2306166009,32,22.7,19.8
204945,6271,155,88,46,1236095978,82,22.7,19.8
196825,861,112,77,45,10994090482,190,22.7,19.8
142485,3415,706,69,44,3782080997,97,22.7,19.8
255754,1566,10,94,43,9947983338,174,22.7,19.8
277933,2080,538,84,44,12181686466,204,22.7,19.8
303714,3749,59,91,48,482525811,48,22.7,19.8
251137,2208,153,97,47,11521987091,278,22.7,19.8
212872,3952,216,70,39,3471913524,57,22.7,19.8
166537,4953,174,94,54,1074664089,56,22.7,19.8
189941,4113,125,93,43,5398083978,124,22.7,19.8
398317,2874,44,107,49,6185949406,171,22.7,19.8
219969,2204,505,75,48,8089625229,112,22.7,19.8
359846,3140,871,82,41,7172179130,180,22.7,19.8
789576,3563,3681,76,42,33919087382,636,22.7,19.8
318536,7289,25,78,43,4646307823,164,22.7,19.8
427077,1573,32,93,49,18096772269,239,22.7,19.8
248337,3575,108,85,44,7122771453,198,22.7,19.8
234648,2790,521,75,41,3780238532,93,22.7,19.8
454027,4982,321,77,48,5585719596,113,22.7,19.8
132698,1003,10,78,43,3364679806,101,22.7,19.8
121743,246,236,91,44,3962617799,46,22.7,19.8
264865,4584,1303,92,44,4496769700,243,22.7,19.8
812549,2875,2641,71,49,75772182382,707,51.7,5.4
15323,100,107,98,51,1971690580,19,51.7,5.4
