"Date","상권","행정동_코드","상권_코드_명","총_유동인구_수","총_상주인구_수","총_직장_인구_수","운영_영업_개월_평균","폐업_영업_개월_평균","당월_매출_금액","점포수","공실률","임대료"
"2014_2","성신여대",11290575,"동소문로15길",221976,670,63,91,48,4190437070,67,9.5,41.4
"2014_2","성신여대",11290575,"동소문로26가길",308311,1356,262,87,40,4193715379,141,9.5,41.4
"2014_2","성신여대",11290575,"동소문로13길",247084,1526,763,85,48,3853889899,89,9.5,41.4
"2014_2","성신여대",11290575,"보문로32길",424727,1262,890,73,40,4724054793,124,9.5,41.4
"2014_2","성신여대",11290575,"서울 성북구 성신여대입구역",856707,437,4894,92,43,49028870819,762,9.5,41.4
"2014_2","성신여대",11290575,"아리랑로4길",227524,2322,673,85,47,6740228115,185,9.5,41.4
"2014_2","성신여대",11290600,"인촌로5길",149999,1204,25,87,46,1962679652,48,9.5,41.4
"2014_2","성신여대",11290600,"인촌로24길",379377,566,287,90,49,21175165051,272,9.5,41.4
"2014_2","성신여대",11290600,"서울 성북구 안암역",250041,255,64,86,44,11703106052,128,9.5,41.4
"2014_2","성신여대",11290600,"인촌로17가길",208398,1143,2881,92,59,2784105767,46,9.5,41.4
"2014_2","성신여대",11290600,"안암로5길",110061,1625,564,93,49,1448490861,35,9.5,41.4
"2014_2","성신여대",11290600,"개운사길",199095,826,2651,81,44,12340460616,146,9.5,41.4
"2014_2","수유",11305610,"삼양로77길",246932,1732,347,83,45,977244720,52,6.8,58.6
"2014_2","수유",11305610,"수유로12길",160734,1010,230,85,38,3656063709,155,6.8,58.6
"2014_2","수유",11305610,"수유전통시장",200580,292,461,114,54,14391680917,307,6.8,58.6
"2014_2","수유",11305620,"우이시장",114523,706,151,86,50,3230610428,118,6.8,58.6
"2014_2","수유",11305620,"노해로33길",98243,974,27,113,44,426368318,41,6.8,58.6
"2014_2","수유",11305630,"노해로17길",215591,1260,177,95,37,3812688535,150,6.8,58.6
"2014_2","수유",11305630,"서울 강북구 수유역_2",1254559,814,3838,83,44,45545178074,642,6.8,58.6
"2014_2","수유",11305630,"한천로139가길",205406,488,44,70,34,1969513132,71,6.8,58.6
"2014_2","수유",11305630,"한천로140길",194943,748,124,89,35,2726745319,142,6.8,58.6
"2014_2","수유",11305630,"삼각산로28길",136713,1839,761,76,36,1582501084,92,6.8,58.6
"2014_2","수유",11305630,"도봉로99길",179146,1240,163,76,33,1057327096,46,6.8,58.6
"2014_2","수유",11305630,"수유중앙시장",14811,17,143,102,33,344889757,16,6.8,58.6
"2014_2","수유",11305630,"강북종합시장",73660,316,50,93,50,4570024382,104,6.8,58.6
"2014_2","수유",11305630,"서울 강북구 수유역_3",237635,203,50,103,45,13211090059,287,6.8,58.6
"2014_2","신촌",11410585,"서울 서대문구 신촌역",3557784,979,2694,91,48,123838897352,1937,7.7,60.2
"2014_2","신촌",11410585,"서울 서대문구 이대역",1137979,701,1239,95,41,49778261708,1274,7.7,60.2
"2014_2","영등포",11560515,"신길로60길",291022,2519,421,102,33,2607302843,86,12.7,33.3
"2014_2","영등포",11560515,"영신로9길",404157,2308,240,88,45,6520004879,109,12.7,33.3
"2014_2","영등포",11560515,"영등포로62길",338769,1319,2,86,45,1419962467,23,12.7,33.3
"2014_2","영등포",11560535,"국회대로56길",291863,1762,1656,121,50,4526937076,185,12.7,33.3
"2014_2","영등포",11560535,"서울 영등포구 영등포시장역",315163,561,360,127,50,7070713579,218,12.7,33.3
"2014_2","영등포",11560535,"영등포로35길",259088,871,60,107,40,7984123756,177,12.7,33.3
"2014_2","영등포",11560535,"영등포역_3",316742,404,867,106,44,4247529500,105,12.7,33.3
"2014_2","영등포",11560535,"영등포전통시장",1816977,890,4144,92,51,127761353296,1932,12.7,33.3
"2014_2","영등포",11560535,"영등포역_2",896506,273,1036,103,53,30062084768,599,12.7,33.3
"2014_2","용산",11170520,"소월로20길",400222,645,124,81,46,1056547751,64,9.4,23.7
"2014_2","용산",11170520,"서울 용산구 숙대입구역",165846,260,4154,117,54,13420135858,212,9.4,23.7
"2014_2","용산",11170530,"한강대로104길",244199,807,4903,108,53,7103311597,158,9.4,23.7
"2014_2","용산",11170530,"두텁바위로1길",206899,882,2374,114,51,3009229978,75,9.4,23.7
"2014_2","용산",11170530,"남영역",84629,0,14157,110,49,16494384646,235,9.4,23.7
"2014_2","용산",11170625,"한강대로62길",276199,172,693,114,53,6029510022,146,9.4,23.7
"2014_2","용산",11170625,"한강대로7길",183174,150,384,101,53,1887622755,50,9.4,23.7
"2014_2","용산",11170625,"서울 용산구 신용산역",367117,120,298,113,44,5294707724,128,9.4,23.7
"2014_2","용산",11170625,"한강대로15길",129020,104,1801,123,53,3844077184,71,9.4,23.7
"2014_2","용산",11170625,"용산 전자상가_1",58401,201,8984,100,50,135485151335,1335,9.4,23.7
"2014_2","용산",11170625,"용산 전자상가_2",52680,110,444,118,41,30585562472,499,9.4,23.7
"2014_2","용산",11170625,"한강대로52길",392021,238,5995,97,45,3376875410,84,9.4,23.7
"2014_2","용산",11170625,"한강대로43길",551276,806,4766,79,47,10175298590,242,9.4,23.7
