Date,상권,임대료
2016_4,청담,71.6
2016_4,테헤란로,46.1
2016_4,소계,51
2016_4,공덕역,40.4
2016_4,신촌,58.4
2016_4,홍대합정,47.3
2016_4,소계,43.1
2016_4,건대입구,52.6
2016_4,경희대,49.3
2016_4,군자,36.8
2016_4,목동,30.5
2016_4,사당,54
2016_4,성신여대,41.4
2016_4,수유,55.2
2016_4,신림,54.8
2016_4,영등포,33.7
2016_4,용산,23.7
2016_4,이태원,46
2016_4,잠실,41.1
2016_4,장안동,26.1
2016_4,천호,38.6
2016_4,청량리,43.5
2016_4,혜화동,70.1
2016_4,화곡,23.3
2017_1,광화문,69.7
2017_1,동대문,36.5
2017_1,명동,277.2
2017_1,서울역,86.2
2017_1,종로,83.9
2017_1,충무로,45
2017_1,소계,77.1
2017_1,강남대로,138.7
2017_1,논현역,39
2017_1,도산대로,44.6
2017_1,서초,27.8
2017_1,신사역,86.9
2017_1,압구정,58.1
2017_1,청담,68.9
2017_1,테헤란로,46.2
2017_1,소계,47.1
2017_1,공덕역,40.8
2017_1,신촌,57.3
2017_1,영등포,37.8
2017_1,홍대합정,55.2
2017_1,소계,44.8
2017_1,건대입구,62.5
2017_1,경희대,43.4
2017_1,군자,29.7
2017_1,목동,33.4
2017_1,불광역,37
2017_1,사당,58
2017_1,서울대입구역,62.3
2017_1,성신여대,43.7
2017_1,수유,54.6
2017_1,신림역,69.7
2017_1,오류동역,46.6
2017_1,왕십리,37.4
2017_1,용산,24.8
2017_1,이태원,47
2017_1,잠실,41.2
2017_1,장안동,21
2017_1,천호,35.3
2017_1,청량리,45.9
2017_1,혜화동,73.5
2017_1,화곡,26.2
2017_2,광화문,69.3
2017_2,동대문,36.5
2017_2,명동,277.2
2017_2,서울역,85.2
2017_2,종로,83.9
2017_2,충무로,45
2017_2,소계,76.9
2017_2,강남대로,138.8
2017_2,논현역,39
2017_2,도산대로,45
2017_2,서초,27.8
2017_2,신사역,85.4
2017_2,압구정,58
2017_2,청담,68.1
2017_2,테헤란로,46.2
2017_2,소계,47.2
2017_2,공덕역,40.8
2017_2,신촌,57.3
2017_2,영등포,38.2
2017_2,홍대합정,55.2
2017_2,소계,45
2017_2,건대입구,62.7
2017_2,경희대,43.5
2017_2,군자,29.8
2017_2,목동,33.4
2017_2,불광역,37
2017_2,사당,58.7
2017_2,서울대입구역,62.8
2017_2,성신여대,43.7
2017_2,수유,54.6
2017_2,신림역,70.3
2017_2,오류동역,46.6
2017_2,왕십리,37.4
2017_2,용산,25
2017_2,이태원,47
2017_2,잠실,41.3
2017_2,장안동,21
2017_2,천호,35.4
2017_2,청량리,45.9
2017_2,혜화동,73.2
2017_2,화곡,26.2
2017_3,광화문,69.2
2017_3,동대문,36.5
2017_3,명동,270.4
2017_3,서울역,85.3
2017_3,종로,84
2017_3,충무로,45
2017_3,소계,77
2017_3,강남대로,139.7
2017_3,논현역,39
2017_3,도산대로,45
2017_3,서초,27.8
2017_3,신사역,85.8
2017_3,압구정,56.6
2017_3,청담,68.1
2017_3,테헤란로,46.2
2017_3,소계,47.3
2017_3,공덕역,40.8
2017_3,신촌,57.3
2017_3,영등포,38.3
2017_3,홍대합정,55.5
2017_3,소계,45.1
2017_3,건대입구,64.3
2017_3,경희대,43.5
2017_3,군자,29.8
2017_3,목동,33.5
2017_3,불광역,37
2017_3,사당,58.8
2017_3,서울대입구역,62.8
2017_3,성신여대,43.9
2017_3,수유,54.8
2017_3,신림역,70.5
2017_3,오류동역,46.6
2017_3,왕십리,38
2017_3,용산,24.8
2017_3,이태원,47
2017_3,잠실,41.6
2017_3,장안동,21
2017_3,천호,35.4
