Date,상권,임대료,임대료_예측_머신러닝,임대료_예측_딥러닝,임대료_차이_머신,임대료_차이_딥
2016_1,혜화동,70.2,59.607 ,68.401 ,10.593 ,1.799 
2016_1,홍대합정,47.4,42.389 ,55.427 ,5.011 ,8.027 
2016_1,화곡,23.3,24.067 ,29.252 ,0.767 ,5.952 
2016_2,건대입구,52.5,47.994 ,49.323 ,4.506 ,3.177 
2016_2,경희대,49.5,43.189 ,47.822 ,6.311 ,1.678 
2016_2,공덕역,40.4,34.747 ,42.610 ,5.653 ,2.210 
2016_2,광화문,70.5,54.123 ,72.088 ,16.377 ,1.588 
2016_2,군자,38.4,34.148 ,36.387 ,4.252 ,2.013 
2016_2,동대문,34.9,33.705 ,44.673 ,1.195 ,9.773 
2016_2,명동,271.6,206.820 ,285.072 ,64.780 ,13.472 
2016_2,목동,30.5,28.159 ,37.124 ,2.341 ,6.624 
2016_2,사당,54,49.011 ,51.848 ,4.989 ,2.152 
2016_2,서초,30.7,26.938 ,36.316 ,3.762 ,5.616 
2016_2,성신여대,41.5,39.501 ,42.840 ,1.999 ,1.340 
2016_2,수유,55.3,48.505 ,57.779 ,6.795 ,2.479 
2016_2,신촌,58.4,46.344 ,64.006 ,12.056 ,5.606 
2016_2,영등포,33.7,33.137 ,42.389 ,0.563 ,8.689 
2016_2,용산,23.7,22.663 ,32.160 ,1.037 ,8.460 
2016_2,이태원,46.1,41.496 ,53.080 ,4.604 ,6.980 
2016_2,잠실,40.8,34.990 ,38.693 ,5.810 ,2.107 
2016_2,장안동,26.1,24.209 ,34.198 ,1.891 ,8.098 
2016_2,종로,88.9,74.742 ,94.955 ,14.158 ,6.055 
2016_2,천호,38.6,34.662 ,37.669 ,3.938 ,0.931 
2016_2,청담,69.6,48.852 ,72.104 ,20.748 ,2.504 
2016_2,청량리,43.5,40.810 ,37.900 ,2.691 ,5.600 
2016_2,충무로,29.1,21.651 ,34.742 ,7.450 ,5.642 
2016_2,테헤란로,46.4,38.295 ,49.826 ,8.106 ,3.426 
2016_2,혜화동,70.2,62.604 ,66.606 ,7.596 ,3.594 
2016_2,홍대합정,47.5,40.502 ,61.368 ,6.998 ,13.868 
2016_2,화곡,23.3,23.850 ,29.943 ,0.550 ,6.643 
2016_3,건대입구,52.6,47.657 ,51.638 ,4.943 ,0.962 
2016_3,경희대,49.4,43.937 ,46.617 ,5.463 ,2.783 
2016_3,공덕역,40.4,33.231 ,40.364 ,7.169 ,0.036 
2016_3,광화문,71.2,54.438 ,75.173 ,16.762 ,3.973 
2016_3,군자,36.8,33.271 ,34.325 ,3.529 ,2.475 
2016_3,동대문,34.9,31.140 ,45.136 ,3.760 ,10.236 
2016_3,명동,271.2,224.659 ,271.406 ,46.541 ,0.206 
2016_3,목동,30.5,27.843 ,34.282 ,2.657 ,3.782 
2016_3,사당,54,47.034 ,50.929 ,6.966 ,3.071 
2016_3,서초,30.9,26.370 ,35.319 ,4.530 ,4.419 
2016_3,성신여대,41.4,38.283 ,43.824 ,3.118 ,2.424 
2016_3,수유,55.3,46.554 ,56.460 ,8.746 ,1.160 
2016_3,신촌,58.4,44.971 ,68.031 ,13.430 ,9.631 
2016_3,영등포,33.7,31.721 ,40.297 ,1.979 ,6.597 
2016_3,용산,23.7,21.869 ,30.941 ,1.831 ,7.241 
2016_3,이태원,46.1,41.117 ,52.285 ,4.983 ,6.185 
2016_3,잠실,41,36.219 ,35.902 ,4.782 ,5.098 
2016_3,장안동,26.1,24.665 ,33.163 ,1.435 ,7.063 
2016_3,종로,88.9,74.405 ,92.066 ,14.495 ,3.166 
2016_3,천호,38.6,33.384 ,35.660 ,5.216 ,2.940 
2016_3,청담,69.1,50.568 ,69.463 ,18.532 ,0.363 
2016_3,청량리,43.5,35.954 ,36.596 ,7.546 ,6.904 
2016_3,충무로,29.1,21.938 ,35.365 ,7.163 ,6.265 
2016_3,테헤란로,46.4,37.155 ,49.190 ,9.245 ,2.790 
2016_3,혜화동,70.2,57.573 ,64.568 ,12.627 ,5.632 
2016_3,홍대합정,47.5,39.845 ,61.342 ,7.655 ,13.842 
2016_3,화곡,23.3,23.274 ,29.088 ,0.026 ,5.788 
2016_4,건대입구,52.6,47.345 ,51.120 ,5.255 ,1.480 
2016_4,경희대,49.3,41.718 ,45.659 ,7.582 ,3.641 
2016_4,공덕역,40.4,31.263 ,42.669 ,9.137 ,2.269 
2016_4,광화문,71.3,53.834 ,73.996 ,17.466 ,2.696 
2016_4,군자,36.8,32.166 ,35.276 ,4.634 ,1.524 
2016_4,동대문,34.8,31.805 ,45.026 ,2.995 ,10.226 
2016_4,명동,271.1,219.910 ,268.744 ,51.190 ,2.356 
2016_4,목동,30.5,28.075 ,34.643 ,2.425 ,4.143 
2016_4,사당,54,47.565 ,51.424 ,6.435 ,2.576 
2016_4,서초,30.9,26.105 ,34.406 ,4.795 ,3.506 
2016_4,성신여대,41.4,38.038 ,42.473 ,3.362 ,1.073 
2016_4,수유,55.2,46.942 ,57.212 ,8.258 ,2.012 
2016_4,신촌,58.4,48.707 ,67.813 ,9.693 ,9.413 
2016_4,영등포,33.7,31.539 ,43.006 ,2.161 ,9.306 
2016_4,용산,23.7,22.070 ,31.793 ,1.630 ,8.093 
2016_4,이태원,46,38.766 ,54.181 ,7.234 ,8.181 
2016_4,잠실,41.1,35.585 ,38.319 ,5.515 ,2.781 
2016_4,장안동,26.1,24.413 ,32.803 ,1.687 ,6.703 
2016_4,종로,88.7,71.731 ,94.400 ,16.969 ,5.700 
2016_4,천호,38.6,33.723 ,35.599 ,4.877 ,3.001 
2016_4,청담,71.6,52.008 ,66.637 ,19.592 ,4.963 
2016_4,청량리,43.5,40.161 ,35.959 ,3.340 ,7.541 
2016_4,충무로,29.1,25.833 ,30.550 ,3.267 ,1.450 
2016_4,테헤란로,46.1,37.110 ,48.159 ,8.990 ,2.059 
2016_4,혜화동,70.1,56.885 ,69.008 ,13.215 ,1.092 
2016_4,홍대합정,47.3,41.396 ,65.460 ,5.904 ,18.160 
2016_4,화곡,23.3,23.380 ,29.028 ,0.080 ,5.728 
2017_1,건대입구,62.5,51.274 ,58.322 ,11.226 ,4.178 
2017_1,경희대,43.4,41.862 ,43.549 ,1.538 ,0.149 
2017_1,공덕역,40.8,34.450 ,40.679 ,6.351 ,0.121 
2017_1,광화문,69.7,55.371 ,70.039 ,14.329 ,0.339 
2017_1,군자,29.7,31.696 ,31.199 ,1.996 ,1.499 
2017_1,논현역,39,33.626 ,38.839 ,5.374 ,0.161 
2017_1,동대문,36.5,32.686 ,54.118 ,3.814 ,17.618 
2017_1,명동,277.2,237.218 ,266.890 ,39.982 ,10.310 
2017_1,목동,33.4,30.194 ,36.379 ,3.206 ,2.979 
2017_1,불광역,37,34.509 ,38.731 ,2.491 ,1.731 
2017_1,사당,58,49.766 ,52.789 ,8.234 ,5.211 
2017_1,서초,27.8,26.058 ,31.833 ,1.743 ,4.033 
2017_1,성신여대,43.7,38.959 ,44.551 ,4.741 ,0.851 
2017_1,수유,54.6,49.487 ,55.040 ,5.113 ,0.440 
2017_1,신림역,69.7,52.380 ,69.034 ,17.320 ,0.666 
2017_1,신촌,57.3,48.158 ,121.183 ,9.142 ,63.883 
2017_1,압구정,58.1,44.089 ,59.378 ,14.011 ,1.278 
2017_1,영등포,37.8,34.829 ,43.912 ,2.971 ,6.112 
2017_1,오류동역,46.6,41.670 ,39.870 ,4.930 ,6.730 
2017_1,왕십리,37.4,36.380 ,40.217 ,1.020 ,2.817 
2017_1,용산,24.8,23.092 ,30.157 ,1.708 ,5.357 
2017_1,이태원,47,40.202 ,53.906 ,6.798 ,6.906 
2017_1,잠실,41.2,36.734 ,36.218 ,4.467 ,4.982 
2017_1,장안동,21,24.232 ,31.476 ,3.232 ,10.476 
2017_1,종로,83.9,72.027 ,89.163 ,11.874 ,5.263 
2017_1,천호,35.3,34.784 ,33.371 ,0.516 ,1.929 
2017_1,청담,68.9,49.750 ,67.527 ,19.151 ,1.373 
2017_1,청량리,45.9,44.824 ,36.625 ,1.077 ,9.275 
2017_1,테헤란로,46.2,38.017 ,48.089 ,8.183 ,1.889 
2017_1,혜화동,73.5,61.375 ,72.328 ,12.125 ,1.172 
2017_1,홍대합정,55.2,44.974 ,72.364 ,10.226 ,17.164 
2017_1,화곡,26.2,25.720 ,30.222 ,0.480 ,4.022 
2017_2,건대입구,62.7,55.203 ,57.668 ,7.497 ,5.032 
2017_2,경희대,43.5,41.020 ,43.714 ,2.480 ,0.214 
2017_2,공덕역,40.8,32.738 ,39.115 ,8.062 ,1.685 
2017_2,광화문,69.3,54.029 ,74.176 ,15.271 ,4.876 
2017_2,군자,29.8,30.727 ,30.707 ,0.927 ,0.907 
2017_2,논현역,39,33.130 ,39.669 ,5.870 ,0.669 
2017_2,동대문,36.5,34.608 ,50.766 ,1.892 ,14.266 
2017_2,명동,277.2,242.263 ,262.449 ,34.937 ,14.751 
2017_2,목동,33.4,30.078 ,36.718 ,3.322 ,3.318 
2017_2,불광역,37,33.250 ,38.739 ,3.750 ,1.739 
2017_2,사당,58.7,50.706 ,55.060 ,7.994 ,3.640 
2017_2,서초,27.8,25.714 ,31.806 ,2.086 ,4.006 
2017_2,성신여대,43.7,39.257 ,45.383 ,4.443 ,1.683 
2017_2,수유,54.6,50.681 ,55.889 ,3.919 ,1.289 
2017_2,신림역,70.3,56.454 ,71.152 ,13.846 ,0.852 
2017_2,신촌,57.3,45.911 ,100.834 ,11.390 ,43.534 
2017_2,압구정,58,44.431 ,64.192 ,13.569 ,6.192 
2017_2,영등포,38.2,35.425 ,45.046 ,2.775 ,6.846 
2017_2,오류동역,46.6,44.881 ,38.386 ,1.719 ,8.214 
2017_2,왕십리,37.4,36.324 ,39.953 ,1.076 ,2.553 
2017_2,용산,25,23.218 ,30.426 ,1.782 ,5.426 
2017_2,이태원,47,40.832 ,58.635 ,6.168 ,11.635 
2017_2,잠실,41.3,36.941 ,36.842 ,4.360 ,4.458 
2017_2,장안동,21,22.768 ,27.806 ,1.768 ,6.806 
2017_2,종로,83.9,69.528 ,90.781 ,14.372 ,6.881 
2017_2,천호,35.4,33.189 ,31.566 ,2.211 ,3.834 
2017_2,청담,68.1,48.909 ,66.353 ,19.191 ,1.747 
2017_2,청량리,45.9,45.768 ,38.436 ,0.132 ,7.464 
2017_2,테헤란로,46.2,37.918 ,49.563 ,8.282 ,3.363 
2017_2,혜화동,73.2,59.939 ,70.703 ,13.261 ,2.497 
2017_2,홍대합정,55.2,46.393 ,73.253 ,8.807 ,18.053 
2017_2,화곡,26.2,25.243 ,29.628 ,0.957 ,3.428 
2017_3,건대입구,64.3,54.870 ,60.028 ,9.430 ,4.272 
2017_3,경희대,43.5,40.238 ,44.419 ,3.262 ,0.919 
2017_3,공덕역,40.8,33.278 ,39.612 ,7.522 ,1.188 
2017_3,광화문,69.2,54.291 ,75.006 ,14.909 ,5.806 
2017_3,군자,29.8,30.585 ,31.125 ,0.785 ,1.325 
2017_3,논현역,39,32.908 ,39.460 ,6.092 ,0.460 
2017_3,동대문,36.5,33.414 ,42.658 ,3.087 ,6.158 
2017_3,명동,270.4,249.147 ,269.432 ,21.253 ,0.968 
2017_3,목동,33.5,31.174 ,35.336 ,2.326 ,1.836 
2017_3,불광역,37,33.836 ,39.509 ,3.164 ,2.509 
2017_3,사당,58.8,50.736 ,54.950 ,8.064 ,3.850 
2017_3,서초,27.8,25.967 ,31.472 ,1.833 ,3.672 
2017_3,성신여대,43.9,38.819 ,44.561 ,5.081 ,0.661 
2017_3,수유,54.8,50.864 ,56.455 ,3.936 ,1.655 
2017_3,신림역,70.5,58.432 ,74.546 ,12.068 ,4.046 
2017_3,신촌,57.3,46.346 ,111.119 ,10.955 ,53.819 
2017_3,압구정,56.6,44.877 ,62.708 ,11.723 ,6.108 
2017_3,영등포,38.3,35.438 ,44.713 ,2.862 ,6.413 
2017_3,오류동역,46.6,45.278 ,38.532 ,1.322 ,8.068 
2017_3,왕십리,38,35.367 ,39.248 ,2.633 ,1.248 
2017_3,용산,24.8,22.814 ,31.775 ,1.986 ,6.975 
2017_3,이태원,47,40.649 ,57.190 ,6.351 ,10.190 
2017_3,잠실,41.6,36.842 ,35.206 ,4.758 ,6.394 
2017_3,장안동,21,22.830 ,28.047 ,1.830 ,7.047 
2017_3,종로,84,70.807 ,91.064 ,13.193 ,7.064 
2017_3,천호,35.4,33.838 ,31.796 ,1.562 ,3.604 
2017_3,청담,68.1,49.382 ,66.935 ,18.719 ,1.165 
2017_3,청량리,45.9,44.671 ,39.737 ,1.229 ,6.163 
2017_3,테헤란로,46.2,37.636 ,48.986 ,8.564 ,2.786 
2017_3,혜화동,73.2,57.363 ,73.508 ,15.837 ,0.308 
2017_3,홍대합정,55.5,46.595 ,74.507 ,8.905 ,19.007 
2017_3,화곡,26.3,25.196 ,29.364 ,1.104 ,3.064 
2017_4,건대입구,64.3,55.339 ,60.323 ,8.961 ,3.977 
2017_4,경희대,43.8,41.510 ,44.152 ,2.290 ,0.352 
2017_4,공덕역,41.6,33.808 ,40.166 ,7.792 ,1.434 
2017_4,광화문,69.2,57.609 ,73.215 ,11.591 ,4.015 
