Y_pred,Y_real,Mean,,,
8.343627,1.3,7.043626976,,,
18.805937,11.8,7.005936813,,,
11.753866,18.7,6.946133804,,,
12.809342,5.9,6.909342384,,,
7.703284,0.8,6.903283787,,,
7.962227,1.1,6.862226868,,,
7.770595,1,6.770595074,,,
8.546309,1.8,6.746309471,,,
10.026431,3.3,6.726431084,,,
12.160761,5.5,6.66076088,,,
5.349043,12,6.650957108,,,
14.969957,21.6,6.630042648,,,
10.08664,16.7,6.613359642,,,
8.425517,1.9,6.525517082,,,
8.103552,1.6,6.503551865,,,
6.2167473,12.7,6.483252716,,,
4.030546,10.5,6.469453812,,,
4.7934504,11.2,6.406549644,,,
7.377594,1,6.377593994,,,
7.859672,1.5,6.35967207,,,
7.7967052,14.1,6.303294754,,,
6.9239125,0.7,6.223912525,,,
8.601038,14.8,6.198962021,,,
7.287063,1.1,6.187063122,,,
8.756351,2.6,6.156351471,,,
24.053442,17.9,6.153442001,,,
9.151761,3,6.151761055,,,
10.048035,3.9,6.148034668,,,
6.557332,12.7,6.142667961,,,
2.1653955,8.3,6.134604502,,,
12.032577,5.9,6.132576561,,,
6.584281,12.7,6.115719032,,,
7.2846613,13.4,6.115338707,,,
13.613646,7.5,6.113645554,,,
16.309881,22.4,6.09011879,,,
13.389729,7.3,6.089728546,,,
6.7155805,12.8,6.084419537,,,
12.878584,6.8,6.078583908,,,
11.126865,17.2,6.073134613,,,
5.745664,11.8,6.05433588,,,
12.224891,6.2,6.024890709,,,
11.23142,17.2,5.968580437,,,
11.160382,5.2,5.960382271,,,
4.9714355,10.9,5.928564453,,,
24.322062,18.4,5.922061539,,,
6.797674,12.7,5.902325821,,,
10.481247,4.6,5.881246948,,,
6.8291583,12.7,5.870841694,,,
16.55601,22.4,5.843990707,,,
12.708959,6.9,5.808958626,,,
8.295043,14.1,5.804957008,,,
4.40292,10.2,5.797080231,,,
15.803153,21.6,5.796846962,,,
7.7959304,2,5.795930386,,,
6.7859025,1,5.7859025,,,
4.4315553,10.2,5.768444729,,,
3.6449573,9.4,5.755042696,,,
9.35013,3.6,5.750130081,,,
14.614192,8.9,5.714192009,,,
13.00903,7.3,5.709030342,,,
15.894352,21.6,5.705648041,,,
5.320054,11,5.679945946,,,
17.376488,11.7,5.676487732,,,
14.220127,19.8,5.579872894,,,
3.9443722,9.5,5.555627823,,,
6.383396,11.9,5.516603851,,,
5.710356,0.2,5.510356236,,,
5.4907374,11,5.509262562,,,
5.3969264,10.9,5.503073597,,,
12.199893,6.7,5.499892998,,,
7.211771,12.7,5.488228989,,,
6.4773297,1,5.477329731,,,
10.547268,16,5.452732086,,,
13.450124,18.9,5.449876213,,,
8.848572,3.4,5.448571777,,,
7.3698688,12.8,5.430131245,,,
11.803874,6.4,5.403874016,,,
5.6977773,11.1,5.402222729,,,
7.9874487,2.6,5.387448692,,,
12.523818,17.9,5.376181984,,,
9.42507,14.8,5.374930191,,,
6.630776,12,5.369224072,,,
7.268232,1.9,5.368231869,,,
1.146272,6.5,5.353728056,,,
7.251114,1.9,5.351113892,,,
7.935336,2.6,5.335336113,,,
7.789359,13.1,5.310640907,,,
3.8931968,9.2,5.306803179,,,
11.901821,6.6,5.301821136,,,
7.1846437,1.9,5.284643745,,,
7.1409507,12.4,5.25904932,,,
10.957599,5.7,5.257598686,,,
13.642824,18.9,5.257175827,,,
7.0514116,12.3,5.248588371,,,
16.3629,21.6,5.23710022,,,
5.9633207,11.2,5.236679268,,,
11.199645,6,5.199645042,,,
17.209421,22.4,5.190578842,,,
8.010489,13.2,5.189510536,,,
12.188077,7,5.188076973,,,
13.213998,18.4,5.186002159,,,
5.8344245,11,5.165575504,,,
6.1613503,1,5.16135025,,,
5.8408356,11,5.159164429,,,
9.652198,14.8,5.147802162,,,
9.945913,4.8,5.145913315,,,
