Date,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수
2015_4,대림로22길,201768,97799,103969,3802,26163,40844,51481,53089,26383
2015_4,대림로29길,456577,232643,223933,12086,60972,88884,113423,117426,63790
2015_4,대림로31길,104402,56905,47494,915,12173,22070,29718,28597,10928
2015_4,대림로34길,130642,72217,58424,2393,11976,27805,39097,37233,12138
2015_4,대림로44길,166863,87053,79803,6028,19068,35182,43868,42935,19783
2015_4,대림로7길,94783,49266,45519,1666,9506,20384,24887,26361,11977
2015_4,대림로8길,326034,156395,169640,17756,37062,64277,78512,83226,45202
2015_4,도림로112길,210881,108236,102650,6768,23812,53006,56642,48871,21786
2015_4,도림로147길,133517,76787,56728,3065,14259,34561,36456,31556,13621
2015_4,도림로63길,149655,72069,77586,5445,15475,31362,40312,40439,16619
2015_4,도림천로21길,202226,102289,99938,3272,27903,40963,50152,52372,27571
2015_4,도신로15길,126064,65520,60542,3291,14371,29031,34638,32027,12703
2015_4,도신로29길,201561,96727,104835,11209,18643,41109,52158,50547,27896
2015_4,도신로60길,186932,90211,96719,9984,24499,36864,43849,43847,27886
2015_4,도신로62길,250592,120918,129674,15848,33947,51738,58918,55494,34645
2015_4,디지털로37길,302803,152926,149879,5556,42231,60190,74672,77732,42428
2015_4,디지털로57길,211936,107015,104918,3876,26480,41384,54057,56893,29249
2015_4,디지털로74길,150092,68607,81482,5140,13608,28722,39981,43450,19193
2015_4,선유로55길,628156,363336,264819,21630,108899,170972,155685,116757,54214
2015_4,선유서로24길,246205,143011,103194,8307,28562,62972,63249,53894,29220
2015_4,선유서로25길,183721,106826,76893,4274,22165,50893,48283,39545,18565
2015_4,선유서로28길,181205,106789,74415,2864,22495,50532,49143,39942,16232
