Date,상권_코드_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,상권_변화_지표
2019_1,약수시장,120,60,104,51,HH
2019_1,청평화시장,104,59,104,51,LH
2019_1,제일평화시장,95,53,104,51,LH
2019_1,동평화시장,121,52,104,51,HH
2019_1,남평화시장,117,56,104,51,HH
2019_1,방산종합시장,154,69,104,51,HH
2019_1,평화시장,128,53,104,51,HH
2019_1,인현시장,138,55,104,51,HH
2019_1,신중부시장,141,68,104,51,HH
2019_1,남대문시장,137,60,104,51,HH
2019_1,신설종합시장,188,39,104,51,HL
2019_1,동묘시장,114,48,104,51,HL
2019_1,창신골목시장,140,59,104,51,HH
2019_1,동문시장,76,56,104,51,LH
2019_1,충신시장,152,73,104,51,HH
2019_1,종로신진시장,147,68,104,51,HH
2019_1,동대문종합시장,136,66,104,51,HH
2019_1,광장시장,210,87,104,51,HH
2019_1,통인시장,121,62,104,51,HH
2019_1,서울 노원구 노원역_3,90,47,104,51,LL
2019_1,서울 노원구 노원역_2,103,44,104,51,LL
2019_1,서울 노원구 노원역_1,102,48,104,51,LL
2019_1,창동역,100,50,104,51,LL
2019_1,서울 강북구 수유역_3,112,51,104,51,HL
2019_1,등나무근린공원 주변,87,50,104,51,LL
2019_1,서울 강북구 수유역_2,98,49,104,51,LL
2019_1,서울 강북구 수유역_1,102,49,104,51,LL
2019_1,서울 은평구 연신내역_3,98,41,104,51,LL
2019_1,서울 은평구 연신내역_2,90,48,104,51,LL
2019_1,서울 은평구 연신내역_1,119,67,104,51,HH
2019_1,서울 성북구 미아삼거리역_2,120,56,104,51,HH
2019_1,서울 강북구 미아삼거리역_1,95,51,104,51,LL
2019_1,서울 은평구 불광역_3,101,46,104,51,LL
2019_1,서울 은평구 불광역_2,130,62,104,51,HH
2019_1,서울 은평구 불광역_1,99,47,104,51,LL
2019_1,미아사거리_2,92,53,104,51,LH
2019_1,미아사거리_1,110,52,104,51,HH
2019_1,서울 성북구 성신여대입구역,100,49,104,51,LL
2019_1,경희대학교,92,48,104,51,LL
2019_1,서울 성북구 안암역,97,49,104,51,LL
2019_1,혜화역 대학로_3,97,55,104,51,LH
2019_1,혜화역 대학로_2,112,49,104,51,HL
2019_1,혜화역 대학로_1,87,53,104,51,LH
2019_1,디지털미디어시티,50,35,104,51,LL
2019_1,서울 동대문구 청량리역,167,61,104,51,HH
2019_1,서울 종로구 경복궁역_2,120,54,104,51,HH
2019_1,서울 종로구 안국역_2,100,57,104,51,LH
2019_1,서울 종로구 안국역_1,124,57,104,51,HH
2019_1,서울 종로구 경복궁역_1,107,57,104,51,HH
2019_1,서울 종로구 종로3가역_3,121,53,104,51,HH
2019_1,서울 종로구 종로3가역_2,109,57,104,51,HH
2019_1,서울 동대문구 신설동역_2,132,45,104,51,HL
2019_1,인사동,142,64,104,51,HH
2019_1,서울 종로구 종로5가역_4,151,67,104,51,HH
2019_1,서울 종로구 종로5가역_3,135,56,104,51,HH
2019_1,종로구청,110,59,104,51,HH
2019_1,서울 종로구 종로5가역_2,105,57,104,51,HH
2019_1,신설동역,121,38,104,51,HL
2019_1,서울 동대문구 신설동역_1,101,47,104,51,LL
2019_1,서울 종로구 광화문역_2,125,56,104,51,HH
2019_1,동묘앞역,127,49,104,51,HL
2019_1,장안동사거리,95,47,104,51,LL
2019_1,서울 종로구 동대문역_2,96,51,104,51,LL
2019_1,서울 종로구 동대문역_1,132,61,104,51,HH
2019_1,동대문시장_2,141,69,104,51,HH
2019_1,서울 종로구 종로5가역_1,134,73,104,51,HH
2019_1,서울 종로구 종로3가역_1,127,56,104,51,HH
2019_1,서울 종로구 광화문역_1,139,69,104,51,HH
2019_1,종각역,145,56,104,51,HH
2019_1,종각역 젊음의 거리,105,56,104,51,HH
2019_1,서대문구 서대문역_1,125,61,104,51,HH
2019_1,동대문시장_1,133,49,104,51,HL
2019_1,시청역_2,118,58,104,51,HH
2019_1,서울시청,128,63,104,51,HH
2019_1,서울 중구 을지로3가역_2,138,63,104,51,HH
2019_1,서울 중구 신당역_2,158,55,104,51,HH
2019_1,서대문구 서대문역_2,126,59,104,51,HH
2019_1,동대문역사문화공원역,147,60,104,51,HH
2019_1,서울 중구 을지로3가역_1,159,60,104,51,HH
2019_1,명동거리,152,55,104,51,HH
2019_1,롯데백화점,108,73,104,51,HH
2019_1,서울 중구 신당역_1,117,56,104,51,HH
2019_1,북창동,152,59,104,51,HH
2019_1,서울 중구 충무로역_2,161,57,104,51,HH
2019_1,서울 강서구 송정역,117,54,104,51,HH
2019_1,장한평역_2,116,50,104,51,HL
2019_1,시청역_1,128,68,104,51,HH
2019_1,왕십리역_2,108,56,104,51,HH
2019_1,서울 강서구 발산역,69,46,104,51,LL
2019_1,장한평역_1,108,48,104,51,HL
2019_1,서울 중구 충무로역_1,123,59,104,51,HH
2019_1,왕십리역_1,89,69,104,51,LH
2019_1,장한평역,111,53,104,51,HH
2019_1,서울 중구 명동역,110,51,104,51,HL
2019_1,장충동 족발거리,131,68,104,51,HH
2019_1,한양시장,83,56,104,51,LH
2019_1,서울 서대문구 이대역,111,47,104,51,HL
2019_1,서울 서대문구 신촌역,114,52,104,51,HH
2019_1,서울 마포구 홍대입구역_3,81,48,104,51,LL
2019_1,서울 마포구 홍대입구역_2,82,49,104,51,LL
2019_1,홍익대학교 주변,73,45,104,51,LL
2019_1,서울 광진구 군자역,96,53,104,51,LH
2019_1,신촌역,124,56,104,51,HH
2019_1,강서구청,89,45,104,51,LL
2019_1,서울 마포구 홍대입구역_1,91,47,104,51,LL
2019_1,서울 중구 약수역_2,100,55,104,51,LH
2019_1,서울 중구 약수역_1,139,61,104,51,HH
2019_1,서울 강동구 고덕역,108,55,104,51,HH
2019_1,등촌역,99,49,104,51,LL
2019_1,서울 강동구 명일역,119,50,104,51,HL
2019_1,어린이대공원역,95,52,104,51,LH
2019_1,서울 마포구 공덕역_2,133,66,104,51,HH
2019_1,공덕역,98,46,104,51,LL
2019_1,서울 용산구 숙대입구역,118,58,104,51,HH
2019_1,남영역,126,56,104,51,HH
2019_1,서울 마포구 공덕역_1,80,45,104,51,LL
2019_1,서울 마포구 마포역_2,101,50,104,51,LL
2019_1,서울 광진구 건대입구역_2,79,52,104,51,LH
2019_1,서울 마포구 마포역_1,116,54,104,51,HH
2019_1,서울 강동구 천호역_2,99,50,104,51,LL
2019_1,서울 광진구 건대입구역_1,84,55,104,51,LH
2019_1,건대입구역,67,42,104,51,LL
2019_1,서울 광진구 구의역,104,49,104,51,HL
2019_1,서울 강동구 천호역,109,54,104,51,HH
2019_1,당산역_2,86,50,104,51,LL
2019_1,서울 강동구 천호역_1,104,49,104,51,HL
2019_1,서울 강동구 길동역,100,46,104,51,LL
2019_1,용산 전자상가_5,140,50,104,51,HL
2019_1,용산 전자상가_4,125,51,104,51,HH
2019_1,당산역_1,89,49,104,51,LL
2019_1,서울 광진구 강변역,128,56,104,51,HH
2019_1,용산 전자상가_3,140,47,104,51,HL
2019_1,서울 용산구 이태원역,129,61,104,51,HH
2019_1,한남오거리,120,57,104,51,HH
2019_1,목동사거리,97,51,104,51,LL
2019_1,용산 전자상가_2,134,47,104,51,HL
2019_1,용산구청,71,54,104,51,LH
2019_1,용산 전자상가_1,120,59,104,51,HH
2019_1,국회의사당역_2,106,48,104,51,HL
2019_1,서울 용산구 신용산역,102,55,104,51,LH
2019_1,국회의사당역_1,105,66,104,51,HH
2019_1,압구정 로데오거리_2,98,46,104,51,LL
2019_1,서울 강남구 압구정역,100,50,104,51,LL
2019_1,서울 영등포구 영등포구청역,98,47,104,51,LL
2019_1,압구정 로데오거리_1,98,46,104,51,LL
2019_1,서울 강동구 둔촌동역,111,53,104,51,HH
2019_1,오목교역,80,51,104,51,LL
2019_1,신사동 가로수길,92,48,104,51,LL
2019_1,서울 영등포구 여의도역_2,101,55,104,51,LH
2019_1,청담사거리_3,92,49,104,51,LL
2019_1,영등포유통상가,117,50,104,51,HL
2019_1,청담역_2,98,51,104,51,LH
2019_1,청담역_1,95,45,104,51,LL
2019_1,청담사거리_2,103,54,104,51,LH
2019_1,청담사거리_1,104,44,104,51,HL
2019_1,서울 영등포구 여의도역_1,112,48,104,51,HL
2019_1,서울 양천구 신정네거리역_2,117,56,104,51,HH
2019_1,학동사거리_2,84,45,104,51,LL
2019_1,서울 영등포구 영등포시장역,156,58,104,51,HH
2019_1,학동사거리_1,107,46,104,51,HL
2019_1,여의도 시범아파트앞,104,47,104,51,LL
2019_1,영등포역_3,122,52,104,51,HH
2019_1,도산공원사거리_1,107,44,104,51,HL
2019_1,영등포역_2,117,61,104,51,HH
2019_1,문래동 주민센터,58,35,104,51,LL
2019_1,강남구 신사역_2,99,46,104,51,LL
2019_1,영등포역_1,115,53,104,51,HH
2019_1,서울 강남구 강남구청역_2,95,47,104,51,LL
2019_1,강남구 신사역_1,102,48,104,51,LL
2019_1,서울 동작구 노량진1동_1,142,77,104,51,HH
2019_1,서울 강남구 학동역_3,105,45,104,51,HL
2019_1,서울 강남구 강남구청역_1,95,48,104,51,LL
2019_1,잠실역,97,51,104,51,LH
2019_1,강남구 논현역_4,98,48,104,51,LL
2019_1,학동역,101,52,104,51,LH
2019_1,방이동 먹자골목,86,45,104,51,LL
2019_1,서울 강남구 학동역_2,99,45,104,51,LL
2019_1,서울 동작구 노량진역,96,52,104,51,LH
2019_1,삼성역_3,104,57,104,51,HH
2019_1,코엑스,98,60,104,51,LH
2019_1,서울 강남구 학동역_1,124,57,104,51,HH
2019_1,선정릉역_2,86,45,104,51,LL
2019_1,강남구 논현역_3,86,53,104,51,LH
2019_1,포스코사거리_2,99,52,104,51,LH
2019_1,포스코사거리_1,90,46,104,51,LL
2019_1,잠실역 롯데월드,107,68,104,51,HH
2019_1,신도림역,73,42,104,51,LL
2019_1,강남구 논현역_2,91,44,104,51,LL
2019_1,선정릉역_1,80,42,104,51,LL
2019_1,신천역,105,48,104,51,HL
2019_1,강남구 논현역_1,98,43,104,51,LL
2019_1,삼성역_2,98,57,104,51,LH
2019_1,삼정역_2,84,43,104,51,LL
2019_1,삼정역_1,104,46,104,51,HL
2019_1,삼성역_1,87,48,104,51,LL
2019_1,서울 강남구 선릉역_2,91,43,104,51,LL
2019_1,고속터미널역,126,73,104,51,HH
2019_1,서울 서초구 강남역,87,46,104,51,LL
2019_1,서울 강남구 선릉역_1,91,49,104,51,LL
2019_1,서울 송파구 석촌역_2,107,48,104,51,HL
2019_1,선릉역_2,82,46,104,51,LL
2019_1,서울 강남구 역삼역_2,87,47,104,51,LL
2019_1,서울 송파구 석촌역_1,128,44,104,51,HL
2019_1,석촌역,165,52,104,51,HH
2019_1,서울 강남구 강남역_2,98,47,104,51,LL
2019_1,선릉역_1,81,40,104,51,LL
2019_1,구로역,92,55,104,51,LH
2019_1,역삼역_2,104,53,104,51,HH
2019_1,대림역_2,100,42,104,51,LL
2019_1,서울 강남구 역삼역_1,85,43,104,51,LL
2019_1,신대방삼거리역,96,53,104,51,LH
2019_1,서울 강남구 한티역,86,50,104,51,LL
2019_1,은마아파트입구사거리_4,93,43,104,51,LL
2019_1,은마아파트입구사거리_3,82,51,104,51,LL
2019_1,은마아파트입구사거리_2,95,50,104,51,LL
2019_1,오류동역,115,57,104,51,HH
2019_1,서울 강남구 강남역,74,43,104,51,LL
2019_1,은마아파트입구사거리_1,112,52,104,51,HH
2019_1,대림역_1,83,47,104,51,LL
2019_1,교대역_4,101,56,104,51,LH
2019_1,서울 강남구 강남역_1,87,46,104,51,LL
2019_1,방배동카페골목,125,47,104,51,HL
2019_1,가락시장,79,57,104,51,LH
2019_1,교대역_3,108,48,104,51,HL
2019_1,역삼역_1,94,45,104,51,LL
2019_1,교대역_2,97,50,104,51,LL
2019_1,서울 송파구 가락시장역,98,43,104,51,LL
2019_1,서울 서초구 서초역,101,55,104,51,LH
2019_1,서울 강남구 대치역_2,108,55,104,51,HH
2019_1,서울 강남구 대치역_1,88,49,104,51,LL
2019_1,뱅뱅사거리_2,91,44,104,51,LL
2019_1,보라매공원,95,55,104,51,LH
2019_1,교대역_1,98,48,104,51,LL
2019_1,개봉동 현대아파트 인근,133,55,104,51,HH
2019_1,뱅뱅사거리,95,47,104,51,LL
2019_1,뱅뱅사거리_1,96,45,104,51,LL
2019_1,서울 관악구 신림역_4,106,44,104,51,HL
2019_1,동작구 총신대입구역_1,102,51,104,51,LL
2019_1,양재역_3,102,47,104,51,LL
2019_1,동작구 총신대입구역_2,116,56,104,51,HH
2019_1,서울 서초구 남부터미널역_3,100,50,104,51,LL
2019_1,서울 강남구 수서역,101,51,104,51,LL
2019_1,서울 관악구 신림역_3,114,59,104,51,HH
2019_1,서울 서초구 남부터미널역_2,110,50,104,51,HL
2019_1,구로디지탈1단지,69,43,104,51,LL
2019_1,양재역,105,53,104,51,HH
2019_1,문정역,86,39,104,51,LL
2019_1,매봉역,103,46,104,51,LL
2019_1,서울 서초구 방배역,109,53,104,51,HH
2019_1,서울 서초구 남부터미널역_1,136,55,104,51,HH
2019_1,서울 관악구 신림역_2,89,48,104,51,LL
2019_1,서울 관악구 신림역_1,105,58,104,51,HH
2019_1,양재역_2,109,52,104,51,HH
2019_1,양재역_1,155,56,104,51,HH
2019_1,서울 관악구 서울대입구역_2,110,58,104,51,HH
2019_1,가산디지털단지역_3,79,45,104,51,LL
2019_1,구로디지털단지역,115,48,104,51,HL
2019_1,서울 관악구 서울대입구역_1,92,48,104,51,LL
2019_1,관악구 사당역_1,92,54,104,51,LH
2019_1,가산디지털단지역_2,67,49,104,51,LL
2019_1,관악구 사당역_2,102,51,104,51,LL
2019_1,가산디지털단지역_1,71,44,104,51,LL
2019_1,장지역,59,36,104,51,LL
2019_1,포이사거리_1,130,51,104,51,HL
2019_1,포이사거리_2,98,40,104,51,LL
2019_1,관악구 사당역_3,116,53,104,51,HH
2019_1,서울 관악구 대학동_1,110,48,104,51,HL
2019_1,서울 금천구 독산1동_1,77,45,104,51,LL
2019_1,양재동 꽃시장,212,78,104,51,HH
2019_1,양재 화물트럭터미널앞_2,102,50,104,51,LL
2019_1,양재 화물트럭터미널앞_1,88,48,104,51,LL
2019_1,서울 금천구 시흥1동_4,114,54,104,51,HH
2019_1,풍성로37가길,99,42,104,51,LL
2019_1,천호옛길,115,51,104,51,HL
2019_1,천호옛14길,100,52,104,51,LH
2019_1,천호대로219길,105,55,104,51,HH
2019_1,천호대로197길,85,54,104,51,LH
2019_1,천호대로187길,122,47,104,51,HL
2019_1,천호대로170길,92,46,104,51,LL
2019_1,천호대로162길,85,43,104,51,LL
2019_1,천중로51길,100,44,104,51,LL
2019_1,천중로39길,92,52,104,51,LH
2019_1,진황도로47길,94,43,104,51,LL
2019_1,진황도로27길,92,50,104,51,LL
2019_1,올림픽로98길,98,46,104,51,LL
2019_1,올림픽로80길,124,50,104,51,HL
2019_1,올림픽로78길,133,52,104,51,HH
2019_1,올림픽로77길,118,53,104,51,HH
2019_1,올림픽로71길,82,49,104,51,LL
2019_1,올림픽로48길,92,49,104,51,LL
2019_1,양재대로96길,110,50,104,51,HL
2019_1,양재대로95길,116,45,104,51,HL
2019_1,양재대로91길,103,44,104,51,LL
2019_1,양재대로133길,107,47,104,51,HL
2019_1,양재대로124길,83,43,104,51,LL
2019_1,양재대로116길,77,43,104,51,LL
2019_1,양재대로101길,103,42,104,51,LL
2019_1,암사길,99,46,104,51,LL
2019_1,성안로3길,111,49,104,51,HL
2019_1,성내로5길,105,48,104,51,HL
2019_1,상일로5길,93,50,104,51,LL
2019_1,상암로5길,114,51,104,51,HH
2019_1,상암로51길,90,47,104,51,LL
2019_1,상암로4길,94,46,104,51,LL
2019_1,상암로14길,100,44,104,51,LL
2019_1,명일로13길,102,49,104,51,LL
2019_1,동남로85길,94,52,104,51,LH
2019_1,동남로82길,126,56,104,51,HH
2019_1,동남로65길,101,47,104,51,LL
2019_1,구천면로42길,132,55,104,51,HH
2019_1,구천면로41길,88,46,104,51,LL
2019_1,구천면로36길,92,51,104,51,LH
2019_1,고덕로61길,98,47,104,51,LL
2019_1,고덕로25길,118,59,104,51,HH
2019_1,고덕로10길,94,51,104,51,LL
2019_1,강동대로53길,97,47,104,51,LL
2019_1,풍성로25길,122,52,104,51,HH
2019_1,오금로46길,103,51,104,51,LL
2019_1,오금로36길,97,43,104,51,LL
2019_1,오금로11길,99,50,104,51,LL
2019_1,양재대로72길,102,50,104,51,LL
2019_1,양재대로71길,92,49,104,51,LL
2019_1,양재대로64길,105,45,104,51,HL
2019_1,양재대로62길,93,45,104,51,LL
2019_1,송파대로30길,81,44,104,51,LL
2019_1,송이로36길,97,44,104,51,LL
2019_1,송이로32길,96,48,104,51,LL
2019_1,송이로23길,95,46,104,51,LL
2019_1,삼전로13길,101,46,104,51,LL
2019_1,백제고분로50길,106,50,104,51,HL
2019_1,백제고분로46길,105,49,104,51,HL
2019_1,백제고분로45길,86,45,104,51,LL
2019_1,백제고분로42길,90,46,104,51,LL
2019_1,백제고분로39길,89,50,104,51,LL
2019_1,백제고분로34길,99,48,104,51,LL
2019_1,백제고분로33길,74,45,104,51,LL
2019_1,백제고분로32길,100,50,104,51,LL
2019_1,백제고분로31길,101,48,104,51,LL
2019_1,백제고분로22길,100,47,104,51,LL
2019_1,백제고분로21길,91,41,104,51,LL
2019_1,마천로51길,121,51,104,51,HL
2019_1,동남로20길,95,50,104,51,LL
2019_1,거마로20길,110,54,104,51,HH
2019_1,학동로77길,97,52,104,51,LH
2019_1,학동로6길,82,46,104,51,LL
2019_1,학동로56길,100,50,104,51,LL
2019_1,학동로38길,80,48,104,51,LL
2019_1,테헤란로81길,85,50,104,51,LL
2019_1,일원로9길,93,51,104,51,LL
2019_1,일원로3길,109,53,104,51,HH
2019_1,영동대로65길,92,49,104,51,LL
2019_1,영동대로112길,113,55,104,51,HH
