상권_코드_명,행정동_코드
강서로45다길,11500560
은평로8길,11380580
응암로12길,11380600
응암로13길,11380600
둘레9길,11200650
뚝섬로5길,11200670
마장로27길,11200540
공릉로12가길,11260620
자양로26길,11215850
자양로45길,11215770
방배로35길,11650590
도신로60길,11560630
도신로62길,11560630
디지털로37길,11560710
디지털로57길,11560710
디지털로74길,11560700
남현2길,11620630
증가로20가길,11410720
당산로46길,11560560
남현길,11620630
당곡길,11620525
대학14길,11620735
대학길,11620735
미성5길,11620765
거마로20길,11710550
응암로14길,11380600
응암로22길,11380600
수색로18길,11380650
한강대로43길,11170625
통일로12길,11110580
방배로42길,11650590
사임당로17길,11650510
사평대로22길,11650581
통일로87길,11380551
통일로92길,11380530
연서로34길,11380530
양산길,11620745
도림로12길,11530540
화곡로20길,11500540
화곡로31길,11500615
화곡로44나길,11500591
화곡로59길,11500591
화곡로64길,11500520
선유로55길,11560620
선유서로24길,11560610
백제고분로39길,11710600
백제고분로42길,11710580
백제고분로45길,11710580
백제고분로46길,11710580
백제고분로50길,11710562
삼전로13길,11710650
봉은사로109길,11680580
평창길,11110560
필운대로1길,11110530
광성로6길,11440630
대흥로21길,11440600
후암로28길,11170510
송정12라길,11200720
송정4가길,11200720
아차산로11길,11200690
아차산로15길,11200690
아차산로5길,11200690
왕십리로14길,11200660
왕십리로21길,11200560
장승배기로10길,11590540
디지털로27길,11530595
디지털로32가길,11530540
디지털로32길,11530540
부일로11길,11530790
부일로15길,11530790
만양로14길,11590510
선유서로28길,11560610
장승배기로19길,11590520
장승배기로27길,11590520
흑석로13길,11590605
흑석로9길,11590605
강남대로118길,11680521
강남대로136길,11680521
강남대로140길,11680521
봉천로13길,11620525
명륜길,11110650
백석동길,11110550
오패산로3길,11290715
통일로78길,11380530
장한로14길,11230650
회나무로13길,11170660
효창원로39길,11170590
장한로25길,11230650
긴고랑로7길,11215740
긴고랑로8길,11215740
긴고랑로9길,11215760
등촌로39길,11500530
등촌로51길,11500530
등촌로55길,11500530
등촌로5길,11500570
방화대로21길,11500620
방화대로6라길,11500620
공항대로38길,11500615
공항대로42길,11500615
대림로22길,11560700
대림로29길,11560720
대림로31길,11560720
대림로34길,11560720
대림로44길,11560720
화곡로3길,11470600
화곡로4길,11470600
도봉로18길,11305545
도봉로45길,11305535
도봉로67길,11305535
도봉로76길,11305535
도봉로8길,11305545
응암로34길,11380580
도화4길,11440585
자양로50길,11215860
자양로53길,11215770
자양번영로3길,11215840
천호대로109길,11215750
천호대로123길,11215750
광나루로52길,11215870
종암로19길,11290705
동광로1길,11650590
증가로23나길,11410720
증가로6길,11410685
충정로4길,11410565
충정로6길,11410565
통일로11길,11410520
통일로37길,11410620
통일로39길,11410620
홍연길,11410615
홍제내길,11410620
성지3길,11440680
숭문8길,11440610
숭문길,11440610
도화길,11440585
독막로22길,11440655
독막로32길,11440630
독막로8길,11440680
동교로17길,11440660
계동길,11110600
난계로27길,11110710
돈화문로11가길,11110615
연서로3길,11380625
연서로41길,11380530
갈현로7길,11380625
불광천길,11380600
서오릉로21길,11380560
서오릉로8길,11380570
암사길,11740570
낙성대역길,11620625
난곡로24길,11620775
난곡로26길,11620775
난곡로34길,11620775
난곡로74길,11620685
봉은사로29길,11680531
봉은사로43길,11680531
봉은사로57길,11680590
봉은사로68길,11680590
삼성로115길,11680590
삼성로147길,11680565
삼성로57길,11680600
중앙로15길,11530730
서울 서초구 방배역,11650600
매봉역,11680656
문정역,11710641
양재역,11680655
신대방삼거리역,11590550
교대역_4,11650531
대림역_1,11530550
은마아파트입구사거리_1,11680600
서울 영등포구 영등포시장역,11560535
학동사거리_2,11680565
서울 양천구 신정네거리역_2,11470650
서울 영등포구 여의도역_1,11560540
청담사거리_1,11680565
청담사거리_2,11680565
청담역_1,11680565
청담역_2,11680565
영등포유통상가,11560550
청담사거리_3,11680565
서울 영등포구 여의도역_2,11560540
아현가구거리상점가,11410555
영등포전통시장,11560535
영등포청과시장,11560550
도림시장,11560585
영일시장,11560605
양남시장,11560610
대신시장,11560630
사러가시장,11560650
봉일시장,11620605
봉천현대시장,11620605
봉천중앙시장,11620615
인헌시장,11620625
종암로21길,11290705
용마산로94길,11260575
중랑천로10길,11260520
길음로7길,11290660
돌곶이로14길,11290810
돌곶이로22길,11290810
연서로17길,11380552
신사동 가로수길,11680510
오목교역,11470510
서울 강동구 둔촌동역,11740660
압구정 로데오거리_1,11680565
서울 영등포구 영등포구청역,11560550
서울 강남구 압구정역,11680545
서울 종로구 종로3가역_3,11110615
서울 종로구 경복궁역_1,11110530
서울 종로구 안국역_1,11110600
서울 종로구 안국역_2,11110540
서울 종로구 경복궁역_2,11110530
서울 동대문구 청량리역,11230560
디지털미디어시티,11440740
혜화역 대학로_1,11110640
신원시장,11620655
동진시장,11440710
마포농수산물시장,11440730
인왕시장,11410640
포방터시장,11410660
모래내시장,11410690
백련시장,11410700
공덕시장,11440555
마포시장,11440555
아현시장,11440555
신수시장,11440630
서교시장,11440660
영진시장,11440660
합정시장,11440680
망원시장,11440690
청파로47나길,11170555
청파로71길,11170555
청파로73길,11170555
자양로15길,11215820
한림말3길,11200645
한림말길,11200645
광나루로12길,11215710
압구정 로데오거리_2,11680545
국회의사당역_1,11560540
서울 용산구 신용산역,11170625
국회의사당역_2,11560540
용산 전자상가_1,11170625
용산구청,11170650
용산 전자상가_2,11170625
목동사거리,11470540
한남오거리,11170685
혜화역 대학로_2,11110650
혜화역 대학로_3,11110650
서울 성북구 안암역,11290600
경희대학교,11230710
서울 성북구 성신여대입구역,11290575
미아사거리_1,11290715
서울 중구 을지로3가역_1,11140605
동대문역사문화공원역,11140590
서울 강동구 천호역_1,11740650
망원월드컵시장,11440700
신월7동골목시장,11470611
신정제일시장,11470620
신정2동골목시장,11470630
신정3동골목시장,11470640
목2동시장,11470520
목3동시장,11470530
동묘시장,11110710
창동신창시장,11320512
창동골목시장,11320513
신도봉시장,11320521
연서로21길,11380552
연서로27길,11380552
연서로28길,11380570
연서로29길,11380551
연서로33길,11380530
증산로21길,11380631
퇴계로56길,11140580
서울 용산구 이태원역,11170650
용산 전자상가_3,11170570
서울 광진구 강변역,11215870
당산역_1,11560620
용산 전자상가_4,11170560
용산 전자상가_5,11170560
서울 강동구 길동역,11740685
도산공원사거리_1,11680545
당산역_2,11560560
서울 강동구 천호역,11710510
서울시청,11140550
시청역_2,11140520
동대문시장_1,11140590
서대문구 서대문역_1,11110580
종각역 젊음의 거리,11110615
종각역,11110615
서울 종로구 광화문역_1,11110530
서울 종로구 종로3가역_1,11110615
백운시장,11320660
쌍문역골목시장,11320680
방학동도깨비시장,11320700
공릉동도깨비시장,11350595
상계시장,11350665
상계중앙시장,11350670
경창시장,11470570
신월3동골목시장,11470580
신곡종합시장,11470610
신월6동골목시장,11470610
명일골목시장,11740530
광나루로24길,11215710
광나루로36길,11215850
광나루로37길,11215860
광나루로40길,11215850
퇴계로8길,11140540
퇴계로90길,11140650
녹사평대로11길,11170690
녹사평대로26길,11170650
영등포역_3,11560535
여의도 시범아파트앞,11560540
서울 강남구 역삼역_2,11680640
서울 광진구 구의역,11215850
건대입구역,11215840
서울 광진구 건대입구역_1,11215847
서울 강동구 천호역_2,11740610
서울 마포구 마포역_1,11440585
장한평역_1,11230650
서울 강서구 발산역,11500535
왕십리역_2,11200535
시청역_1,11140520
미아사거리_2,11290685
서울 은평구 불광역_1,11380570
동대문시장_2,11110630
서울 종로구 동대문역_1,11110680
서울 은평구 불광역_2,11380520
서울 은평구 불광역_3,11380570
장위전통시장,11290770
번동시장,11290780
새석관시장,11290810
석관시장,11290810
석관황금시장,11290810
번동북부골목시장,11305590
수유전통시장,11305610
밤나무골시장,11290715
우이시장,11305620
강북종합시장,11305630
수유중앙시장,11305630
녹사평대로32길,11170650
녹사평대로40나길,11170660
녹사평대로46길,11170660
대사관로34길,11170685
긴고랑로20길,11215750
장한로5길,11230650
장한로8길,11230650
전농로29길,11230560
장한평역_2,11230650
서울 강서구 송정역,11500620
남영역,11170530
서울 용산구 숙대입구역,11170520
공덕역,11440555
서울 마포구 공덕역_2,11440555
어린이대공원역,11215730
서울 강북구 미아삼거리역_1,11305545
서울 종로구 동대문역_2,11110670
장안동사거리,11230660
동묘앞역,11110670
서울 종로구 광화문역_2,11110530
서울 동대문구 신설동역_1,11230536
신설동역,11110710
장미원골목시장,11305645
수유북부시장,11305660
동북시장,11305534
방천골목시장,11305545
숭인시장,11305555
솔샘시장,11305575
화곡중앙골목시장,11500540
대원종합시장,11500560
남부골목시장,11500570
영동전통시장,11680521
논현종합시장,11680531
청담삼익시장,11680565
전농로3길,11230600
전농로4길,11230610
제기로21길,11230705
돌곶이로27길,11290770
돌곶이로28길,11290770
돌곶이로41길,11290760
서울 강동구 명일역,11740530
등촌역,11470530
서울 중구 약수역_1,11140635
서울 중구 약수역_2,11140625
서울 마포구 홍대입구역_1,11440660
강서구청,11500591
신촌역,11440600
왕십리역_1,11200560
서울 종로구 종로5가역_2,11110630
종로구청,11110615
서울 종로구 종로5가역_3,11110630
서울 종로구 종로5가역_4,11110615
인사동,11110615
홍익대학교 주변,11440660
암사종합시장,11740570
양지골목시장,11740590
고분다리골목시장,11740600
동서울시장,11740610
천호시장,11740610
성내골목시장,11740650
둔촌역전통시장,11740660
정릉아리랑시장,11290630
고덕전통시장,11740560
정릉시장,11290640
길음시장,11290660
돌곶이로8길,11290810
동소문로13길,11290575
동소문로15길,11290575
동소문로26가길,11290575
동소문로2길,11290555
동소문로6길,11290555
증산로5길,11380640
증산로9길,11380640
서울 중구 충무로역_1,11140570
서울 중구 충무로역_2,11140570
북창동,11140520
서울 중구 신당역_1,11140650
롯데백화점,11140520
명동거리,11140550
서울 동대문구 신설동역_2,11230536
서울 종로구 종로3가역_2,11110615
서울 마포구 홍대입구역_2,11440660
서울 마포구 홍대입구역_3,11440660
서울 서대문구 신촌역,11410585
서울 서대문구 이대역,11410585
한양시장,11200550
장충동 족발거리,11140580
서울 중구 명동역,11140550
장한평역,11200790
동일로101길,11260520
동일로112길,11260590
상도로15길,11590540
상도로37길,11590530
바우뫼로39길,11650651
반포대로9길,11650530
목동중앙본로7길,11470540
증산서길,11380640
진흥로12길,11380510
진흥로1길,11380625
통일로69길,11380570
두텁바위로1길,11170530
서울 강남구 역삼역_1,11680640
대림역_2,11530560
역삼역_2,11680650
구로역,11530560
선릉역_1,11680650
서울 강남구 강남역_2,11650531
석촌역,11710600
서울 송파구 석촌역_1,11710580
서울 동작구 노량진역,11590510
서대문구 서대문역_2,11410565
서울 중구 신당역_2,11140615
서울 중구 을지로3가역_2,11140605
서울 강북구 미아삼거리역_2,11290685
서울 은평구 연신내역_1,11380570
서울 은평구 연신내역_2,11380551
서울 강북구 수유역_1,11305590
서울 강북구 수유역_2,11305630
등나무근린공원 주변,11350625
종로24길,11110615
종로58가길,11110710
국사봉2길,11590680
국사봉길,11590550
노량진로6길,11590520
대방동27길,11590660
자하문로7길,11110530
강서로29길,11500540
강서로35길,11500560
백범로79길,11170580
백범로90길,11170560
서빙고로71길,11170690
소월로20길,11170520
신흥로20길,11170510
제기로5길,11230545
천장산로7길,11230740
천호대로12길,11230536
